id	Writing_Applications	Language_Conventions	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
2978	4	4	537	19	28.263157894736842	3.91	58.15	12.6	10.3	14.6	8.66	13.75	6.87	13.0	5.629968487394958	31.48	2.6	4.346174789915967	346	25	2080	2143	16	476	647	29.8	0.03	1.4
2979	1	1	178	3	59.333333333333336	1.76	11.6	32.5	0.0	39.2	6.47	18.666666666666668	10.15	33.0	13.450857142857142	9.78	2.9	13.19932380952381	139	9	653	666	2	168	226	84.0	0.01	1.3
2980	2	3	261	15	17.4	6.61	76.56	7.6	9.1	8.5	6.04	8.166666666666666	6.35	9.0	4.1671818181818185	13.66	1.9	2.278772727272727	179	12	885	930	11	220	283	20.0	0.05	1.3
2981	4	4	524	31	16.903225806451612	6.6	-156.57	93.0	0.0	117.1	10.59	6.5	16.82	93.0	34.4301974248927	32.01	3.9	40.41957424892704	320	44	2121	2179	2	466	708	233.0	0.0	1.5
2982	4	4	498	35	14.228571428571428	8.12	72.56	7.0	8.5	7.6	7.54	5.75	6.66	7.0	3.6337730384412845	27.94	2.3	2.2184399508513257	322	24	1826	1902	27	422	602	15.6	0.06	1.4
2983	4	3	379	25	15.16	7.65	72.87	6.9	8.4	7.0	6.6	6.714285714285714	6.9	7.0	3.8289503105590064	20.86	2.0	2.2360935817805383	243	18	1360	1420	21	322	442	15.3	0.07	1.4
2984	5	4	608	25	24.32	4.78	45.09	13.4	12.6	14.3	10.04	12.2	8.14	13.0	5.9438461538461524	36.92	3.4	6.311161538461537	346	55	2425	2513	20	520	810	26.0	0.04	1.6
2985	2	2	853	36	23.694444444444443	4.53	68.44	10.7	9.0	11.9	6.27	8.333333333333334	6.52	9.0	5.2806224489795905	47.17	2.0	3.209036224489795	650	30	3140	3211	28	784	988	28.0	0.04	1.3
2986	4	4	374	19	19.68421052631579	5.74	57.5	10.7	12.5	12.0	9.57	8.285714285714286	7.21	11.0	5.093602416918429	23.17	3.1	6.250558751258812	230	40	1533	1577	15	331	504	22.1	0.05	1.5
2987	4	4	433	24	18.041666666666668	6.23	78.59	6.8	9.4	8.1	6.78	7.0	6.2	7.0	3.9457830687830686	24.15	1.9	2.663330158730159	301	25	1589	1644	21	378	498	18.0	0.06	1.3
