id	Writing_Applications	Language_Conventions	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words
2978	4	4	537	19	28.263157894736842	3.91	0.0374	42.02	0.024208566108007448
2979	1	1	178	3	59.333333333333336	1.76	0.0093	10.92	0.15168539325842698
2980	2	3	261	15	17.4	6.61	0.028	24.37	0.04597701149425287
2981	4	4	524	31	16.903225806451612	6.6	0.0187	36.13	0.013358778625954198
2982	4	4	498	35	14.228571428571428	8.12	0.0467	37.82	0.07429718875502007
2983	4	3	379	25	15.16	7.65	0.028	31.09	0.036939313984168866
2984	5	4	608	25	24.32	4.78	0.0374	40.34	0.024671052631578948
2985	2	2	853	36	23.694444444444443	4.53	0.0561	45.38	0.04806565064478312
2986	4	4	374	19	19.68421052631579	5.74	0.0467	41.18	0.013368983957219251
2987	4	4	433	24	18.041666666666668	6.23	0.0374	38.66	0.011547344110854504
2988	3	3	374	17	22.0	5.0	0.028	29.41	0.03208556149732621
2989	3	3	349	18	19.38888888888889	5.64	0.0187	36.13	0.02865329512893983
2990	5	4	548	29	18.896551724137932	5.94	0.0935	41.18	0.023722627737226276
2991	3	4	363	12	30.25	3.59	0.028	32.77	0.03305785123966942
2992	3	2	107	5	21.4	5.15	0.0187	15.13	0.037383177570093455
2993	3	3	394	17	23.176470588235293	4.72	0.028	36.97	0.07868020304568528
2994	4	4	733	39	18.794871794871796	5.86	0.028	41.18	0.03547066848567531
2995	3	3	373	13	28.692307692307693	3.9	0.0467	27.73	0.040214477211796246
2996	1	2	204	5	40.8	3.31	0.0374	16.81	0.014705882352941176
2997	3	3	377	21	17.952380952380953	6.14	0.028	33.61	0.03713527851458886
2998	3	2	348	11	31.636363636363637	3.32	0.0187	28.57	0.04885057471264368
2999	3	3	337	19	17.736842105263158	6.48	0.0187	23.53	0.08011869436201781
3000	3	3	237	9	26.333333333333332	4.43	0.0187	18.49	0.016877637130801686
3001	4	4	566	23	24.608695652173914	4.47	0.0187	31.09	0.030035335689045935
3002	3	3	588	22	26.727272727272727	4.34	0.0374	39.5	0.03571428571428571
3003	4	3	428	18	23.77777777777778	4.57	0.0467	40.34	0.06775700934579439
3004	4	4	212	11	19.272727272727273	5.5	0.0093	17.65	0.0660377358490566
3005	2	2	93	5	18.6	6.02	0.0093	9.24	0.06451612903225806
3006	3	3	313	15	20.866666666666667	5.3	0.0374	26.89	0.012779552715654952
3007	3	3	320	20	16.0	6.85	0.0187	26.89	0.0375
3008	4	4	486	38	12.789473684210526	8.92	0.0561	34.45	0.02880658436213992
3009	3	4	386	16	24.125	4.56	0.028	24.37	0.0051813471502590676
3010	3	2	196	8	24.5	4.55	0.028	22.69	0.030612244897959183
3011	4	3	472	23	20.52173913043478	5.67	0.028	26.89	0.04025423728813559
3012	3	3	330	22	15.0	7.43	0.0374	31.09	0.07272727272727272
3013	4	4	487	27	18.037037037037038	6.14	0.0467	40.34	0.022587268993839837
3014	4	4	419	21	19.952380952380953	5.6	0.0187	31.93	0.014319809069212411
3015	3	4	406	22	18.454545454545453	5.91	0.0374	36.97	0.022167487684729065
3016	3	3	346	18	19.22222222222222	5.77	0.0374	23.53	0.023121387283236993
3017	4	4	500	23	21.73913043478261	5.22	0.0654	34.45	0.01
3018	3	3	506	21	24.095238095238095	4.53	0.028	34.45	0.08498023715415019
3019	4	4	337	21	16.047619047619047	6.89	0.0187	32.77	0.026706231454005934
3020	4	4	830	44	18.863636363636363	5.85	0.0187	42.02	0.051807228915662654
3021	4	3	571	27	21.14814814814815	5.13	0.0374	36.97	0.0647985989492119
3022	4	4	379	24	15.791666666666666	7.27	0.028	36.13	0.023746701846965697
3023	4	4	335	16	20.9375	5.59	0.0374	30.25	0.04776119402985075
3024	4	4	753	31	24.29032258064516	4.61	0.0374	44.54	0.03187250996015936
3025	3	3	321	9	35.666666666666664	3.03	0.0561	26.89	0.040498442367601244
3026	4	4	437	25	17.48	6.46	0.0467	33.61	0.013729977116704805
3027	3	3	377	18	20.944444444444443	5.31	0.028	34.45	0.04774535809018567
3028	5	4	581	30	19.366666666666667	5.91	0.028	36.97	0.008605851979345954
3029	3	2	304	18	16.88888888888889	6.32	0.028	24.37	0.16447368421052633
3030	4	4	432	21	20.571428571428573	5.41	0.028	36.13	0.041666666666666664
3031	3	4	256	13	19.692307692307693	5.56	0.028	27.73	0.0390625
3032	4	3	521	20	26.05	4.18	0.0467	37.82	0.046065259117082535
3033	4	3	683	40	17.075	6.41	0.0467	43.7	0.06588579795021962
3034	4	4	835	34	24.558823529411764	4.59	0.0467	51.26	0.01437125748502994
3035	2	2	150	8	18.75	5.71	0.0187	17.65	0.11333333333333333
3036	3	3	291	17	17.11764705882353	6.44	0.0748	25.21	0.10652920962199312
3037	4	4	513	31	16.548387096774192	6.61	0.0561	38.66	0.021442495126705652
3038	2	3	97	4	24.25	4.35	0.0	12.61	0.030927835051546393
3039	3	2	242	8	30.25	3.45	0.0187	23.53	0.09917355371900827
3040	3	3	466	17	27.41176470588235	4.14	0.0561	38.66	0.030042918454935622
