id	Writing_Applications	Language_Conventions	total_words	total_sentences	words_div_sentences	sent_density
2978	4	4	537	19	28.263157894736842	3.91
2979	1	1	178	3	59.333333333333336	1.76
2980	2	3	261	15	17.4	6.61
2981	4	4	524	31	16.903225806451612	6.6
2982	4	4	498	35	14.228571428571428	8.12
2983	4	3	379	25	15.16	7.65
2984	5	4	608	25	24.32	4.78
2985	2	2	853	36	23.694444444444443	4.53
2986	4	4	374	19	19.68421052631579	5.74
2987	4	4	433	24	18.041666666666668	6.23
2988	3	3	374	17	22.0	5.0
2989	3	3	349	18	19.38888888888889	5.64
2990	5	4	548	29	18.896551724137932	5.94
2991	3	4	363	12	30.25	3.59
2992	3	2	107	5	21.4	5.15
2993	3	3	394	17	23.176470588235293	4.72
2994	4	4	733	39	18.794871794871796	5.86
2995	3	3	373	13	28.692307692307693	3.9
2996	1	2	204	5	40.8	3.31
2997	3	3	377	21	17.952380952380953	6.14
2998	3	2	348	11	31.636363636363637	3.32
2999	3	3	337	19	17.736842105263158	6.48
3000	3	3	237	9	26.333333333333332	4.43
3001	4	4	566	23	24.608695652173914	4.47
3002	3	3	588	22	26.727272727272727	4.34
3003	4	3	428	18	23.77777777777778	4.57
3004	4	4	212	11	19.272727272727273	5.5
3005	2	2	93	5	18.6	6.02
3006	3	3	313	15	20.866666666666667	5.3
3007	3	3	320	20	16.0	6.85
3008	4	4	486	38	12.789473684210526	8.92
3009	3	4	386	16	24.125	4.56
3010	3	2	196	8	24.5	4.55
3011	4	3	472	23	20.52173913043478	5.67
3012	3	3	330	22	15.0	7.43
3013	4	4	487	27	18.037037037037038	6.14
3014	4	4	419	21	19.952380952380953	5.6
3015	3	4	406	22	18.454545454545453	5.91
3016	3	3	346	18	19.22222222222222	5.77
3017	4	4	500	23	21.73913043478261	5.22
3018	3	3	506	21	24.095238095238095	4.53
3019	4	4	337	21	16.047619047619047	6.89
3020	4	4	830	44	18.863636363636363	5.85
3021	4	3	571	27	21.14814814814815	5.13
3022	4	4	379	24	15.791666666666666	7.27
3023	4	4	335	16	20.9375	5.59
3024	4	4	753	31	24.29032258064516	4.61
3025	3	3	321	9	35.666666666666664	3.03
3026	4	4	437	25	17.48	6.46
3027	3	3	377	18	20.944444444444443	5.31
3028	5	4	581	30	19.366666666666667	5.91
3029	3	2	304	18	16.88888888888889	6.32
3030	4	4	432	21	20.571428571428573	5.41
3031	3	4	256	13	19.692307692307693	5.56
3032	4	3	521	20	26.05	4.18
3033	4	3	683	40	17.075	6.41
3034	4	4	835	34	24.558823529411764	4.59
3035	2	2	150	8	18.75	5.71
3036	3	3	291	17	17.11764705882353	6.44
3037	4	4	513	31	16.548387096774192	6.61
3038	2	3	97	4	24.25	4.35
3039	3	2	242	8	30.25	3.45
3040	3	3	466	17	27.41176470588235	4.14
3041	4	3	590	41	14.390243902439025	7.61
3042	4	4	356	20	17.8	6.56
3043	3	4	337	24	14.041666666666666	8.22
3044	3	3	275	14	19.642857142857142	5.53
3045	4	3	419	31	13.516129032258064	8.56
3046	3	3	263	12	21.916666666666668	5.11
3047	3	4	318	14	22.714285714285715	4.79
3048	3	4	589	36	16.36111111111111	6.77
