id	Writing_Applications	Language_Conventions	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words	difficult_words	proportion_vocab_list[a]_total_words	proportion_vocab_list[a]_headwords	proportion_vocab_list[accent]_total_words	proportion_vocab_list[accent]_headwords	proportion_vocab_list[abandon]_total_words	proportion_vocab_list[abandon]_headwords	proportion_vocab_list[abnormal]_total_words	proportion_vocab_list[abnormal]_headwords	proportion_vocab_list[abbey]_total_words	proportion_vocab_list[abbey]_headwords	proportion_vocab_list[abduct]_total_words	proportion_vocab_list[abduct]_headwords	proportion_vocab_list[abate]_total_words	proportion_vocab_list[abate]_headwords	proportion_vocab_list[aback]_total_words	proportion_vocab_list[aback]_headwords	proportion_vocab_list[abbot]_total_words	proportion_vocab_list[abbot]_headwords	proportion_vocab_list[abet]_total_words	proportion_vocab_list[abet]_headwords	proportion_vocab_list[abrasion]_total_words	proportion_vocab_list[abrasion]_headwords	proportion_vocab_list[aberrant]_total_words	proportion_vocab_list[aberrant]_headwords	proportion_vocab_list[abattoir]_total_words	proportion_vocab_list[abattoir]_headwords	proportion_vocab_list[abashed]_total_words	proportion_vocab_list[abashed]_headwords	proportion_vocab_list[abacus]_total_words	proportion_vocab_list[abacus]_headwords	proportion_vocab_list[abalone]_total_words	proportion_vocab_list[abalone]_headwords	proportion_vocab_list[abductee]_total_words	proportion_vocab_list[abductee]_headwords	proportion_vocab_list[aardvark]_total_words	proportion_vocab_list[aardvark]_headwords	proportion_vocab_list[abnegate]_total_words	proportion_vocab_list[abnegate]_headwords	proportion_vocab_list[abaya]_total_words	proportion_vocab_list[abaya]_headwords	proportion_vocab_list[abaft]_total_words	proportion_vocab_list[abaft]_headwords	proportion_vocab_list[abomasum]_total_words	proportion_vocab_list[abomasum]_headwords	proportion_vocab_list[abettor]_total_words	proportion_vocab_list[abettor]_headwords	proportion_vocab_list[acetal]_total_words	proportion_vocab_list[acetal]_headwords	proportion_vocab_list[ablaut]_total_words	proportion_vocab_list[ablaut]_headwords	proportion_vocab_list[a1]_total_words	proportion_vocab_list[a1]_headwords	proportion_vocab_list[ah]_total_words	proportion_vocab_list[ah]_headwords	proportion_vocab_list[absentminded]_total_words	proportion_vocab_list[absentminded]_headwords	proportion_vocab_list[aal]_total_words	proportion_vocab_list[aal]_headwords	unique_words	ttrr	num_types	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word	nlemma_types	n_bigram_lemma_types	n_trigram_lemma_types	nlemmas	n_bigram_lemmas	n_trigram_lemmas	ncontent_types	ncontent_tokens	content_ttr	nfunction_tokens	nfunction_types	function_ttr	nouns_total	nouns_unique	ttr_nouns	determiners_unique	determiners_per_words	determiners_total	conjunctions_unique	conjunctions_total	conjunctions_per_words	pronouns_unique	pronouns_total	pronouns_density	pronouns_noun_ratio
2978	4	4	537	19	28.263157894736842	3.91	0.0374	42.02	0.024208566108007448	33	0.30353817504655495	0.023771328569345194	0.0148975791433892	0.0012558869701726845	0.0074487895716946	0.0006802721088435374	0.0037243947858473	0.00041109969167523125	0.0	0.0	0.00186219739292365	0.00024378352023403217	0.0	0.0	0.0	0.0	0.00186219739292365	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.74	0.41	198	58.15	12.6	10.3	14.6	8.66	13.75	6.87	13.0	5.629968487394958	31.48	2.6	4.346174789915967	346	25	2080	2143	16	476	647	29.8	0.03	1.4	198	197	196	486	485	484	130	256	0.5078	230	68	0.2957	73	28	0.3836	1	0.0823	40	2	17	0.03498	2	18	0.03704	0.25
2979	1	1	178	3	59.333333333333336	1.76	0.0093	10.92	0.15168539325842698	15	0.30337078651685395	0.00787516406591804	0.02247191011235955	0.0006279434850863422	0.02247191011235955	0.0006802721088435374	0.0056179775280898875	0.00020554984583761563	0.0056179775280898875	0.00023282887077997672	0.0	0.0	0.0056179775280898875	0.0002718129926610492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.88	0.46	78	11.6	32.5	0.0	39.2	6.47	18.666666666666668	10.15	33.0	13.450857142857142	9.78	2.9	13.19932380952381	139	9	653	666	2	168	226	84.0	0.01	1.3	78	77	76	170	169	168	51	77	0.6623	93	27	0.2903	11	11	1.0	1	0.08824	15	2	2	0.01176	2	0	0.0	0.0
2980	2	3	261	15	17.4	6.61	0.028	24.37	0.04597701149425287	13	0.3448275862068966	0.013125273443196733	0.02681992337164751	0.001098901098901099	0.0038314176245210726	0.00017006802721088434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.66	0.51	115	76.56	7.6	9.1	8.5	6.04	8.166666666666666	6.35	9.0	4.1671818181818185	13.66	1.9	2.278772727272727	179	12	885	930	11	220	283	20.0	0.05	1.3	115	114	113	227	226	225	64	114	0.5614	113	51	0.4513	28	17	0.6071	1	0.10132	23	3	7	0.03084	3	6	0.02643	0.21
2981	4	4	524	31	16.903225806451612	6.6	0.0187	36.13	0.013358778625954198	40	0.2652671755725191	0.0202712556511594	0.03816793893129771	0.0031397174254317113	0.009541984732824428	0.0008503401360544217	0.003816793893129771	0.00041109969167523125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.81	0.37	173	-156.57	93.0	0.0	117.1	10.59	6.5	16.82	93.0	34.4301974248927	32.01	3.9	40.41957424892704	320	44	2121	2179	2	466	708	233.0	0.0	1.5	173	172	171	470	469	468	117	248	0.4718	222	56	0.2523	33	14	0.4242	1	0.09362	44	2	12	0.02553	2	28	0.05957	0.85
2982	4	4	498	35	14.228571428571428	8.12	0.0467	37.82	0.07429718875502007	29	0.3132530120481928	0.02275047396820767	0.0321285140562249	0.002511773940345369	0.018072289156626505	0.001530612244897959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006024096385542169	0.0008774495466510676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002008032128514056	0.0008703220191470844	48.26	0.48	208	72.56	7.0	8.5	7.6	7.54	5.75	6.66	7.0	3.6337730384412845	27.94	2.3	2.2184399508513257	322	24	1826	1902	27	422	602	15.6	0.06	1.4	208	207	206	431	430	429	145	244	0.5943	187	63	0.3369	51	36	0.7059	1	0.09281	40	3	18	0.04176	3	15	0.0348	0.29
2983	4	3	379	25	15.16	7.65	0.028	31.09	0.036939313984168866	31	0.2955145118733509	0.01633367361820038	0.0316622691292876	0.0018838304552590266	0.010554089709762533	0.0006802721088435374	0.0079155672823219	0.0006166495375128469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.87	0.46	150	72.87	6.9	8.4	7.0	6.6	6.714285714285714	6.9	7.0	3.8289503105590064	20.86	2.0	2.2360935817805383	243	18	1360	1420	21	322	442	15.3	0.07	1.4	150	149	148	327	326	325	104	195	0.5333	132	46	0.3485	50	25	0.5	1	0.09786	32	2	12	0.0367	2	6	0.01835	0.12
2984	5	4	608	25	24.32	4.78	0.0374	40.34	0.024671052631578948	87	0.24177631578947367	0.021437946623887996	0.05098684210526316	0.004866562009419153	0.029605263157894735	0.003061224489795918	0.013157894736842105	0.001644398766700925	0.004934210526315789	0.0006984866123399302	0.003289473684210526	0.00048756704046806434	0.0	0.0	0.003289473684210526	0.000584966364434045	0.001644736842105263	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.00016545334215751158	0.0	0.0	44.74	0.45	234	45.09	13.4	12.6	14.3	10.04	12.2	8.14	13.0	5.9438461538461524	36.92	3.4	6.311161538461537	346	55	2425	2513	20	520	810	26.0	0.04	1.6	234	233	232	523	522	521	172	278	0.6187	245	62	0.2531	75	30	0.4	1	0.11663	61	2	14	0.02677	2	9	0.01721	0.12
2985	2	2	853	36	23.694444444444443	4.53	0.0561	45.38	0.04806565064478312	45	0.2250879249706917	0.028000583345486364	0.021101992966002344	0.00282574568288854	0.004689331770222743	0.0006802721088435374	0.0023446658851113715	0.00041109969167523125	0.0011723329425556857	0.00023282887077997672	0.0011723329425556857	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011723329425556857	0.00016545334215751158	0.0	0.0	30.82	0.31	245	68.44	10.7	9.0	11.9	6.27	8.333333333333334	6.52	9.0	5.2806224489795905	47.17	2.0	3.209036224489795	650	30	3140	3211	28	784	988	28.0	0.04	1.3	245	244	243	795	794	793	169	358	0.4721	437	76	0.1739	34	22	0.6471	1	0.13208	105	2	9	0.01132	2	23	0.02893	0.68
2986	4	4	374	19	19.68421052631579	5.74	0.0467	41.18	0.013368983957219251	44	0.27807486631016043	0.015166982645471781	0.06149732620320856	0.003610675039246468	0.02406417112299465	0.001530612244897959	0.0053475935828877	0.00041109969167523125	0.00267379679144385	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.02	0.45	149	57.5	10.7	12.5	12.0	9.57	8.285714285714286	7.21	11.0	5.093602416918429	23.17	3.1	6.250558751258812	230	40	1533	1577	15	331	504	22.1	0.05	1.5	149	148	147	331	330	329	101	170	0.5941	161	48	0.2981	35	20	0.5714	1	0.10574	35	2	4	0.01208	2	11	0.03323	0.31
2987	4	4	433	24	18.041666666666668	6.23	0.0374	38.66	0.011547344110854504	25	0.3210161662817552	0.0202712556511594	0.025404157043879907	0.001726844583987441	0.016166281755196306	0.0011904761904761906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023094688221709007	0.00016545334215751158	0.0	0.0	43.12	0.43	166	78.59	6.8	9.4	8.1	6.78	7.0	6.2	7.0	3.9457830687830686	24.15	1.9	2.663330158730159	301	25	1589	1644	21	378	498	18.0	0.06	1.3	166	165	164	385	384	383	100	183	0.5464	202	66	0.3267	15	10	0.6667	1	0.13506	52	3	10	0.02597	3	23	0.05974	1.53
2988	3	3	374	17	22.0	5.0	0.028	29.41	0.03208556149732621	16	0.2807486631016043	0.015312819017062855	0.02406417112299465	0.00141287284144427	0.00267379679144385	0.00017006802721088434	0.0	0.0	0.00267379679144385	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.06	0.37	126	70.87	9.7	10.4	10.7	6.16	8.333333333333334	6.14	11.0	4.863982443982444	20.13	2.1	3.2516460614460616	279	21	1328	1370	13	333	431	25.6	0.04	1.3	126	125	124	340	339	338	76	158	0.481	182	50	0.2747	34	14	0.4118	1	0.12353	42	3	7	0.02059	3	12	0.03529	0.35
2989	3	3	349	18	19.38888888888889	5.64	0.0187	36.13	0.02865329512893983	29	0.3495702005730659	0.017792037334111128	0.04871060171919771	0.0026687598116169543	0.014326647564469915	0.0008503401360544217	0.0028653295128939827	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028653295128939827	4.462492748449284e-05	0.0	0.0	0.0	0.0	0.0	0.0	49.53	0.5	158	68.4	8.6	10.6	9.0	7.37	7.428571428571429	6.92	9.0	4.406683531746031	20.21	2.4	3.941924603174604	231	27	1338	1376	16	315	441	19.7	0.05	1.4	158	157	156	319	318	317	106	162	0.6543	157	52	0.3312	26	16	0.6154	1	0.08464	27	1	6	0.01881	1	14	0.04389	0.54
2990	5	4	548	29	18.896551724137932	5.94	0.0935	41.18	0.023722627737226276	71	0.2664233576642336	0.021292110252296922	0.04562043795620438	0.003924646781789639	0.025547445255474453	0.002380952380952381	0.010948905109489052	0.0012332990750256938	0.0036496350364963502	0.00046565774155995343	0.0018248175182481751	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072992700729927005	0.0006618133686300463	0.0	0.0	45.49	0.45	222	-412.35	191.3	0.0	242.5	9.78	6.25	30.46	0.0	70.48296907216493	32.38	3.7	81.70747422680412	349	34	2140	2204	1	485	712	485.0	0.0	1.5	222	221	220	488	487	486	156	248	0.629	240	66	0.275	70	35	0.5	1	0.10246	50	2	10	0.02049	2	21	0.04303	0.3
2991	3	4	363	12	30.25	3.59	0.028	32.77	0.03305785123966942	26	0.3526170798898072	0.018667055563657577	0.03856749311294766	0.002197802197802198	0.008264462809917356	0.0005102040816326531	0.0	0.0	0.0027548209366391185	0.00023282887077997672	0.0	0.0	0.0027548209366391185	0.0002718129926610492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027548209366391185	0.00016545334215751158	0.008264462809917356	0.0026109660574412533	49.4	0.49	165	59.6	14.1	10.5	16.6	6.98	18.666666666666668	7.75	11.0	6.686575757575756	20.26	2.3	4.972757575757576	272	15	1345	1379	9	330	423	36.7	0.03	1.3	165	164	163	334	333	332	104	152	0.6842	182	61	0.3352	41	27	0.6585	1	0.09581	32	2	14	0.04192	2	18	0.05389	0.44
2992	3	2	107	5	21.4	5.15	0.0187	15.13	0.037383177570093455	13	0.3644859813084112	0.005687618492051918	0.08411214953271028	0.00141287284144427	0.009345794392523364	0.00017006802721088434	0.009345794392523364	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.76	0.59	57	31.55	16.6	13.0	17.2	10.98	11.1	7.89	17.0	6.412150537634409	6.73	4.0	7.557662365591398	60	9	444	458	3	93	154	31.0	0.03	1.7	57	56	55	97	96	95	30	50	0.6	47	27	0.5745	10	6	0.6	1	0.1134	11	1	1	0.01031	1	2	0.02062	0.2
2993	3	3	394	17	23.176470588235293	4.72	0.028	36.97	0.07868020304568528	39	0.3553299492385787	0.020417092022750473	0.03553299492385787	0.002197802197802198	0.012690355329949238	0.0008503401360544217	0.0025380710659898475	0.00020554984583761563	0.0025380710659898475	0.00023282887077997672	0.0025380710659898475	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025380710659898475	4.462492748449284e-05	0.0	0.0	0.0	0.0	0.0025380710659898475	0.0008703220191470844	51.11	0.51	184	64.07	12.3	10.4	15.7	8.48	15.0	7.73	8.0	6.334243277848911	23.22	2.5	5.079169014084506	272	18	1541	1581	11	355	475	32.3	0.03	1.3	184	183	182	360	359	358	124	200	0.62	160	60	0.375	45	29	0.6444	1	0.09722	35	1	8	0.02222	1	14	0.03889	0.31
2994	4	4	733	39	18.794871794871796	5.86	0.028	41.18	0.03547066848567531	38	0.19918144611186903	0.021292110252296922	0.015006821282401092	0.001726844583987441	0.009549795361527967	0.0011904761904761906	0.001364256480218281	0.00020554984583761563	0.001364256480218281	0.00023282887077997672	0.0	0.0	0.0	0.0	0.001364256480218281	0.0002924831822170225	0.001364256480218281	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001364256480218281	4.462492748449284e-05	0.0	0.0	0.001364256480218281	0.00016545334215751158	0.001364256480218281	0.0008703220191470844	28.42	0.28	189	76.05	7.7	9.1	8.9	6.67	8.833333333333334	5.88	9.0	4.224025047709923	40.96	2.1	2.629176526717557	512	35	2707	2788	32	655	874	20.5	0.05	1.3	189	188	187	665	664	663	133	330	0.403	335	56	0.1672	80	31	0.3875	1	0.08872	59	3	18	0.02707	3	54	0.0812	0.68
2995	3	3	373	13	28.692307692307693	3.9	0.0467	27.73	0.040214477211796246	22	0.2761394101876676	0.015021146273880705	0.03485254691689008	0.0020408163265306124	0.005361930294906166	0.0003401360544217687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.24	0.4	134	55.0	13.8	11.4	16.6	9.18	11.2	6.85	14.0	6.052975987841945	22.18	2.8	5.870743221884498	237	21	1466	1510	10	329	457	32.9	0.03	1.4	134	133	132	333	332	331	81	173	0.4682	160	53	0.3312	30	11	0.3667	1	0.06306	21	1	9	0.02703	1	10	0.03003	0.33
2996	1	2	204	5	40.8	3.31	0.0374	16.81	0.014705882352941176	32	0.27941176470588236	0.008312673180691264	0.029411764705882353	0.0009419152276295133	0.014705882352941176	0.0005102040816326531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.93	0.61	92	41.43	14.8	15.6	17.9	11.27	14.75	9.27	15.0	6.872059459459459	11.31	3.5	7.807565945945946	96	24	714	770	5	148	231	29.6	0.03	1.6	92	91	90	151	150	149	62	96	0.6458	55	30	0.5455	57	30	0.5263	1	0.11921	18	2	2	0.01325	2	4	0.02649	0.07
2997	3	3	377	21	17.952380952380953	6.14	0.028	33.61	0.03713527851458886	17	0.27851458885941643	0.015312819017062855	0.021220159151193633	0.0012558869701726845	0.007957559681697613	0.0005102040816326531	0.0	0.0	0.0	0.0	0.002652519893899204	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.26	0.36	124	76.96	7.4	8.5	8.4	6.56	10.8	5.89	9.0	4.039980215509627	20.77	1.8	1.8661289171524467	278	15	1370	1414	17	333	427	19.6	0.05	1.3	124	123	122	342	341	340	74	179	0.4134	163	50	0.3067	42	12	0.2857	1	0.06725	23	2	8	0.02339	2	13	0.03801	0.31
2998	3	2	348	11	31.636363636363637	3.32	0.0187	28.57	0.04885057471264368	12	0.3045977011494253	0.01545865538865393	0.005747126436781609	0.0003139717425431711	0.0028735632183908046	0.00017006802721088434	0.008620689655172414	0.0006166495375128469	0.0028735632183908046	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028735632183908046	0.00047938638542665386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.67	0.39	128	69.38	12.4	7.4	14.0	4.54	13.25	6.43	14.0	6.160177638453499	17.58	1.8	3.4806841518634624	278	5	1168	1197	9	319	377	35.4	0.03	1.2	128	127	126	331	330	329	75	145	0.5172	186	53	0.2849	14	5	0.3571	1	0.07553	25	1	12	0.03625	1	23	0.06949	1.64
2999	3	3	337	19	17.736842105263158	6.48	0.0187	23.53	0.08011869436201781	15	0.2344213649851632	0.01152107335569491	0.017804154302670624	0.0009419152276295133	0.011869436201780416	0.0006802721088435374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005934718100890208	0.000584966364434045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002967359050445104	0.0008703220191470844	35.49	0.35	104	74.32	8.4	8.4	9.9	6.91	7.666666666666666	6.27	8.0	4.419905243545381	18.2	2.1	2.4457562416821927	231	11	1190	1239	13	289	377	22.2	0.04	1.3	104	103	102	293	292	291	60	143	0.4196	150	44	0.2933	43	10	0.2326	1	0.08532	25	1	10	0.03413	1	28	0.09556	0.65
