id	Writing_Applications	Language_Conventions	coherence_nlemma_types	coherence_n_bigram_lemma_types	coherence_n_trigram_lemma_types	coherence_nlemmas	coherence_n_bigram_lemmas	coherence_n_trigram_lemmas	coherence_ncontent_types	coherence_ncontent_tokens	coherence_content_ttr	coherence_nfunction_tokens	coherence_nfunction_types	coherence_function_ttr	coherence_noun_ttr	coherence_determiners	coherence_conjunctions	coherence_prn_noun_ratio
2978	4	4	198	197	196	486	485	484	130	256	0.5078	230	68	0.2957	0.3836	0.0823	0.03498	0.25
2979	1	1	78	77	76	170	169	168	51	77	0.6623	93	27	0.2903	1.0	0.08824	0.01176	0.0
2980	2	3	115	114	113	227	226	225	64	114	0.5614	113	51	0.4513	0.6071	0.10132	0.03084	0.21
2981	4	4	173	172	171	470	469	468	117	248	0.4718	222	56	0.2523	0.4242	0.09362	0.02553	0.85
2982	4	4	208	207	206	431	430	429	145	244	0.5943	187	63	0.3369	0.7059	0.09281	0.04176	0.29
2983	4	3	150	149	148	327	326	325	104	195	0.5333	132	46	0.3485	0.5	0.09786	0.0367	0.12
2984	5	4	234	233	232	523	522	521	172	278	0.6187	245	62	0.2531	0.4	0.11663	0.02677	0.12
2985	2	2	245	244	243	795	794	793	169	358	0.4721	437	76	0.1739	0.6471	0.13208	0.01132	0.68
2986	4	4	149	148	147	331	330	329	101	170	0.5941	161	48	0.2981	0.5714	0.10574	0.01208	0.31
2987	4	4	166	165	164	385	384	383	100	183	0.5464	202	66	0.3267	0.6667	0.13506	0.02597	1.53
2988	3	3	126	125	124	340	339	338	76	158	0.481	182	50	0.2747	0.4118	0.12353	0.02059	0.35
2989	3	3	158	157	156	319	318	317	106	162	0.6543	157	52	0.3312	0.6154	0.08464	0.01881	0.54
2990	5	4	222	221	220	488	487	486	156	248	0.629	240	66	0.275	0.5	0.10246	0.02049	0.3
2991	3	4	165	164	163	334	333	332	104	152	0.6842	182	61	0.3352	0.6585	0.09581	0.04192	0.44
2992	3	2	57	56	55	97	96	95	30	50	0.6	47	27	0.5745	0.6	0.1134	0.01031	0.2
2993	3	3	184	183	182	360	359	358	124	200	0.62	160	60	0.375	0.6444	0.09722	0.02222	0.31
2994	4	4	189	188	187	665	664	663	133	330	0.403	335	56	0.1672	0.3875	0.08872	0.02707	0.68
2995	3	3	134	133	132	333	332	331	81	173	0.4682	160	53	0.3312	0.3667	0.06306	0.02703	0.33
2996	1	2	92	91	90	151	150	149	62	96	0.6458	55	30	0.5455	0.5263	0.11921	0.01325	0.07
2997	3	3	124	123	122	342	341	340	74	179	0.4134	163	50	0.3067	0.2857	0.06725	0.02339	0.31
2998	3	2	128	127	126	331	330	329	75	145	0.5172	186	53	0.2849	0.3571	0.07553	0.03625	1.64
2999	3	3	104	103	102	293	292	291	60	143	0.4196	150	44	0.2933	0.2326	0.08532	0.03413	0.65
3000	3	3	122	121	120	203	202	201	76	99	0.7677	104	46	0.4423	0.6857	0.08374	0.04433	0.37
3001	4	4	175	174	173	515	514	513	113	243	0.465	272	62	0.2279	0.4407	0.07767	0.03301	0.59
3002	3	3	191	190	189	507	506	505	124	274	0.4526	233	67	0.2876	0.3467	0.08087	0.01578	0.32
