id	Writing_Applications	Language_Conventions	flow_ts_avg_len_sent	flow_ts_num_syllab	flow_ts_avg_sent_per_word	flow_ts_num_polysyllab	flow_ts_num_chars	flow_ts_avg_syllab_per_word	flow_ts_fre	flow_ts_fkg	flow_ts_cli	flow_ts_dcrs	flow_ts_lwf	flow_ts_gf	flow_ts_ari
2978	4	4	29.8	647	0.03	25	2143	1.4	58.15	12.6	8.66	6.87	13.75	12.59	14.6
2979	1	1	84.0	226	0.01	9	666	1.3	11.6	32.5	6.47	10.15	18.666666666666668	35.03	39.2
2980	2	3	20.0	283	0.05	12	930	1.3	76.56	7.6	6.04	6.35	8.166666666666666	9.27	8.5
2981	4	4	233.0	708	0.0	44	2179	1.5	-156.57	93.0	10.59	16.82	6.5	94.49	117.1
2982	4	4	15.6	602	0.06	24	1902	1.4	72.56	7.0	7.54	6.66	5.75	7.28	7.6
2983	4	3	15.3	442	0.07	18	1420	1.4	72.87	6.9	6.6	6.9	6.714285714285714	7.61	7.0
2984	5	4	26.0	810	0.04	55	2513	1.6	45.09	13.4	10.04	8.14	12.2	13.48	14.3
2985	2	2	28.0	988	0.04	30	3211	1.3	68.44	10.7	6.27	6.52	8.333333333333334	12.22	11.9
2986	4	4	22.1	504	0.05	40	1577	1.5	57.5	10.7	9.57	7.21	8.285714285714286	11.26	12.0
2987	4	4	18.0	498	0.06	25	1644	1.3	78.59	6.8	6.78	6.2	7.0	8.36	8.1
2988	3	3	25.6	431	0.04	21	1370	1.3	70.87	9.7	6.16	6.14	8.333333333333334	10.96	10.7
2989	3	3	19.7	441	0.05	27	1376	1.4	68.4	8.6	7.37	6.92	7.428571428571429	10.29	9.0
2990	5	4	485.0	712	0.0	34	2204	1.5	-412.35	191.3	9.78	30.46	6.25	196.39	242.5
2991	3	4	36.7	423	0.03	15	1379	1.3	59.6	14.1	6.98	7.75	18.666666666666668	15.89	16.6
2992	3	2	31.0	154	0.03	9	458	1.7	31.55	16.6	10.98	7.89	11.1	15.41	17.2
2993	3	3	32.3	475	0.03	18	1581	1.3	64.07	12.3	8.48	7.73	15.0	13.93	15.7
2994	4	4	20.5	874	0.05	35	2788	1.3	76.05	7.7	6.67	5.88	8.833333333333334	8.87	8.9
2995	3	3	32.9	457	0.03	21	1510	1.4	55.0	13.8	9.18	6.85	11.2	14.13	16.6
2996	1	2	29.6	231	0.03	24	770	1.6	41.43	14.8	11.27	9.27	14.75	17.25	17.9
2997	3	3	19.6	427	0.05	15	1414	1.3	76.96	7.4	6.56	5.89	10.8	8.56	8.4
2998	3	2	35.4	377	0.03	5	1197	1.2	69.38	12.4	4.54	6.43	13.25	14.41	14.0
2999	3	3	22.2	377	0.04	11	1239	1.3	74.32	8.4	6.91	6.27	7.666666666666666	9.57	9.9
3000	3	3	196.0	284	0.01	12	898	1.4	-110.55	77.4	9.19	16.82	10.8	80.03	98.1
3001	4	4	514.0	665	0.0	17	2156	1.3	-424.86	200.2	7.92	30.82	13.25	206.38	255.3
3002	3	3	26.0	706	0.04	32	2242	1.4	62.01	11.1	8.19	6.46	6.714285714285714	11.53	13.0
