id	Writing_Applications	Language_Conventions	grammar_pct_transitions	grammar_pct_rel_trigrams	grammar_grammar_errors_ltp_by_words
2978	4	4	0.0374	42.02	0.024208566108007448
2979	1	1	0.0093	10.92	0.15168539325842698
2980	2	3	0.028	24.37	0.04597701149425287
2981	4	4	0.0187	36.13	0.013358778625954198
2982	4	4	0.0467	37.82	0.07429718875502007
2983	4	3	0.028	31.09	0.036939313984168866
2984	5	4	0.0374	40.34	0.024671052631578948
2985	2	2	0.0561	45.38	0.04806565064478312
2986	4	4	0.0467	41.18	0.013368983957219251
2987	4	4	0.0374	38.66	0.011547344110854504
2988	3	3	0.028	29.41	0.03208556149732621
2989	3	3	0.0187	36.13	0.02865329512893983
2990	5	4	0.0935	41.18	0.023722627737226276
2991	3	4	0.028	32.77	0.03305785123966942
2992	3	2	0.0187	15.13	0.037383177570093455
2993	3	3	0.028	36.97	0.07868020304568528
2994	4	4	0.028	41.18	0.03547066848567531
2995	3	3	0.0467	27.73	0.040214477211796246
2996	1	2	0.0374	16.81	0.014705882352941176
2997	3	3	0.028	33.61	0.03713527851458886
2998	3	2	0.0187	28.57	0.04885057471264368
2999	3	3	0.0187	23.53	0.08011869436201781
3000	3	3	0.0187	18.49	0.016877637130801686
3001	4	4	0.0187	31.09	0.030035335689045935
3002	3	3	0.0374	39.5	0.03571428571428571
