id	Writing_Applications	Language_Conventions	misc_total_words	misc_total_sentences	misc_words_div_sentences	misc_sent_density	misc_ttr	grammar_pct_transitions	grammar_pct_rel_trigrams	grammar_grammar_errors_ltp_by_words	vocab_difficult_words	vocab_proportion_vocab_list[a]	vocab_proportion_vocab_list[accent]	vocab_proportion_vocab_list[abandon]	vocab_proportion_vocab_list[abnormal]	vocab_proportion_vocab_list[abbey]	vocab_proportion_vocab_list[abduct]	vocab_proportion_vocab_list[abate]	vocab_proportion_vocab_list[aback]	vocab_proportion_vocab_list[abbot]	vocab_proportion_vocab_list[abet]	vocab_proportion_vocab_list[abrasion]	vocab_proportion_vocab_list[aberrant]	vocab_proportion_vocab_list[abattoir]	vocab_proportion_vocab_list[abashed]	vocab_proportion_vocab_list[abacus]	vocab_proportion_vocab_list[abalone]	vocab_proportion_vocab_list[abductee]	vocab_proportion_vocab_list[aardvark]	vocab_proportion_vocab_list[abnegate]	vocab_proportion_vocab_list[abaya]	vocab_proportion_vocab_list[abaft]	vocab_proportion_vocab_list[abomasum]	vocab_proportion_vocab_list[abettor]	vocab_proportion_vocab_list[acetal]	vocab_proportion_vocab_list[ablaut]	vocab_proportion_vocab_list[a1]	vocab_proportion_vocab_list[ah]	vocab_proportion_vocab_list[absentminded]	vocab_proportion_vocab_list[aal]	flow_ts_avg_len_sent	flow_ts_num_syllab	flow_ts_avg_sent_per_word	flow_ts_num_polysyllab	flow_ts_num_chars	flow_ts_avg_syllab_per_word	flow_ts_fre	flow_ts_fkg	flow_ts_cli	flow_ts_dcrs	flow_ts_lwf	flow_ts_gf	flow_ts_ari	coherence_nlemma_types	coherence_n_bigram_lemma_types	coherence_n_trigram_lemma_types	coherence_nlemmas	coherence_n_bigram_lemmas	coherence_n_trigram_lemmas	coherence_ncontent_types	coherence_ncontent_tokens	coherence_content_ttr	coherence_nfunction_tokens	coherence_nfunction_types	coherence_function_ttr	coherence_noun_ttr	coherence_determiners	coherence_conjunctions	coherence_prn_noun_ratio
2978	4	4	537	19	28.263157894736842	3.91	40.74	0.0374	42.02	0.024208566108007448	33	0.30353817504655495	0.0148975791433892	0.0074487895716946	0.0037243947858473	0.0	0.00186219739292365	0.0	0.0	0.00186219739292365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8	647	0.03	25	2143	1.4	58.15	12.6	8.66	6.87	13.75	12.59	14.6	198	197	196	486	485	484	130	256	0.5078	230	68	0.2957	0.3836	0.0823	0.03498	0.25
2979	1	1	178	3	59.333333333333336	1.76	45.88	0.0093	10.92	0.15168539325842698	15	0.30337078651685395	0.02247191011235955	0.02247191011235955	0.0056179775280898875	0.0056179775280898875	0.0	0.0056179775280898875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	226	0.01	9	666	1.3	11.6	32.5	6.47	10.15	18.666666666666668	35.03	39.2	78	77	76	170	169	168	51	77	0.6623	93	27	0.2903	1.0	0.08824	0.01176	0.0
2980	2	3	261	15	17.4	6.61	50.66	0.028	24.37	0.04597701149425287	13	0.3448275862068966	0.02681992337164751	0.0038314176245210726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	283	0.05	12	930	1.3	76.56	7.6	6.04	6.35	8.166666666666666	9.27	8.5	115	114	113	227	226	225	64	114	0.5614	113	51	0.4513	0.6071	0.10132	0.03084	0.21
2981	4	4	524	31	16.903225806451612	6.6	36.81	0.0187	36.13	0.013358778625954198	40	0.2652671755725191	0.03816793893129771	0.009541984732824428	0.003816793893129771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	708	0.0	44	2179	1.5	-156.57	93.0	10.59	16.82	6.5	94.49	117.1	173	172	171	470	469	468	117	248	0.4718	222	56	0.2523	0.4242	0.09362	0.02553	0.85
2982	4	4	498	35	14.228571428571428	8.12	48.26	0.0467	37.82	0.07429718875502007	29	0.3132530120481928	0.0321285140562249	0.018072289156626505	0.0	0.0	0.0	0.0	0.006024096385542169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002008032128514056	15.6	602	0.06	24	1902	1.4	72.56	7.0	7.54	6.66	5.75	7.28	7.6	208	207	206	431	430	429	145	244	0.5943	187	63	0.3369	0.7059	0.09281	0.04176	0.29
2983	4	3	379	25	15.16	7.65	45.87	0.028	31.09	0.036939313984168866	31	0.2955145118733509	0.0316622691292876	0.010554089709762533	0.0079155672823219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3	442	0.07	18	1420	1.4	72.87	6.9	6.6	6.9	6.714285714285714	7.61	7.0	150	149	148	327	326	325	104	195	0.5333	132	46	0.3485	0.5	0.09786	0.0367	0.12
2984	5	4	608	25	24.32	4.78	44.74	0.0374	40.34	0.024671052631578948	87	0.24177631578947367	0.05098684210526316	0.029605263157894735	0.013157894736842105	0.004934210526315789	0.003289473684210526	0.0	0.003289473684210526	0.001644736842105263	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0	26.0	810	0.04	55	2513	1.6	45.09	13.4	10.04	8.14	12.2	13.48	14.3	234	233	232	523	522	521	172	278	0.6187	245	62	0.2531	0.4	0.11663	0.02677	0.12
2985	2	2	853	36	23.694444444444443	4.53	30.82	0.0561	45.38	0.04806565064478312	45	0.2250879249706917	0.021101992966002344	0.004689331770222743	0.0023446658851113715	0.0011723329425556857	0.0011723329425556857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011723329425556857	0.0	28.0	988	0.04	30	3211	1.3	68.44	10.7	6.27	6.52	8.333333333333334	12.22	11.9	245	244	243	795	794	793	169	358	0.4721	437	76	0.1739	0.6471	0.13208	0.01132	0.68
2986	4	4	374	19	19.68421052631579	5.74	45.02	0.0467	41.18	0.013368983957219251	44	0.27807486631016043	0.06149732620320856	0.02406417112299465	0.0053475935828877	0.00267379679144385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.1	504	0.05	40	1577	1.5	57.5	10.7	9.57	7.21	8.285714285714286	11.26	12.0	149	148	147	331	330	329	101	170	0.5941	161	48	0.2981	0.5714	0.10574	0.01208	0.31
2987	4	4	433	24	18.041666666666668	6.23	43.12	0.0374	38.66	0.011547344110854504	25	0.3210161662817552	0.025404157043879907	0.016166281755196306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023094688221709007	0.0	18.0	498	0.06	25	1644	1.3	78.59	6.8	6.78	6.2	7.0	8.36	8.1	166	165	164	385	384	383	100	183	0.5464	202	66	0.3267	0.6667	0.13506	0.02597	1.53
