id	Writing_Applications	Language_Conventions	vocab_difficult_words	vocab_proportion_vocab_list[a]	vocab_proportion_vocab_list[accent]	vocab_proportion_vocab_list[abandon]	vocab_proportion_vocab_list[abnormal]	vocab_proportion_vocab_list[abbey]	vocab_proportion_vocab_list[abduct]	vocab_proportion_vocab_list[abate]	vocab_proportion_vocab_list[aback]	vocab_proportion_vocab_list[abbot]	vocab_proportion_vocab_list[abet]	vocab_proportion_vocab_list[abrasion]	vocab_proportion_vocab_list[aberrant]	vocab_proportion_vocab_list[abattoir]	vocab_proportion_vocab_list[abashed]	vocab_proportion_vocab_list[abacus]	vocab_proportion_vocab_list[abalone]	vocab_proportion_vocab_list[abductee]	vocab_proportion_vocab_list[aardvark]	vocab_proportion_vocab_list[abnegate]	vocab_proportion_vocab_list[abaya]	vocab_proportion_vocab_list[abaft]	vocab_proportion_vocab_list[abomasum]	vocab_proportion_vocab_list[abettor]	vocab_proportion_vocab_list[acetal]	vocab_proportion_vocab_list[ablaut]	vocab_proportion_vocab_list[a1]	vocab_proportion_vocab_list[ah]	vocab_proportion_vocab_list[absentminded]	vocab_proportion_vocab_list[aal]
2978	4	4	33	0.30353817504655495	0.0148975791433892	0.0074487895716946	0.0037243947858473	0.0	0.00186219739292365	0.0	0.0	0.00186219739292365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2979	1	1	15	0.30337078651685395	0.02247191011235955	0.02247191011235955	0.0056179775280898875	0.0056179775280898875	0.0	0.0056179775280898875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2980	2	3	13	0.3448275862068966	0.02681992337164751	0.0038314176245210726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2981	4	4	40	0.2652671755725191	0.03816793893129771	0.009541984732824428	0.003816793893129771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2982	4	4	29	0.3132530120481928	0.0321285140562249	0.018072289156626505	0.0	0.0	0.0	0.0	0.006024096385542169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002008032128514056
2983	4	3	31	0.2955145118733509	0.0316622691292876	0.010554089709762533	0.0079155672823219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2984	5	4	87	0.24177631578947367	0.05098684210526316	0.029605263157894735	0.013157894736842105	0.004934210526315789	0.003289473684210526	0.0	0.003289473684210526	0.001644736842105263	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0
2985	2	2	45	0.2250879249706917	0.021101992966002344	0.004689331770222743	0.0023446658851113715	0.0011723329425556857	0.0011723329425556857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011723329425556857	0.0
2986	4	4	44	0.27807486631016043	0.06149732620320856	0.02406417112299465	0.0053475935828877	0.00267379679144385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2987	4	4	25	0.3210161662817552	0.025404157043879907	0.016166281755196306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023094688221709007	0.0
