id	overall_score	Ideas	Organization	Style	Conventions	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
17834	15	1	2	2	3	94	3	31.333333333333332	3.33	66.41	11.5	6.4	14.8	8.72	15.333333333333334	7.05	12.0	5.546777777777777	5.96	2.3	5.164777777777777	65	1	394	406	3	90	117	30.0	0.03	1.3
17836	13	2	2	2	2	101	3	33.666666666666664	3.19	73.55	10.8	8.8	12.7	5.64	16.666666666666668	8.04	13.0	5.98891489361702	5.42	2.0	4.545316312056737	76	3	362	369	3	94	116	31.3	0.03	1.2
17837	15	2	2	2	2	166	1	166.0	0.64	-59.46	59.8	0.0	74.6	6.99	57.0	14.15	60.0	23.111441558441555	9.17	2.7	24.67808571428571	126	7	613	624	1	154	195	154.0	0.01	1.3
17838	17	2	2	2	3	257	13	19.76923076923077	5.91	85.32	6.3	7.7	8.5	6.38	11.0	6.94	7.0	4.294278173439463	13.6	1.6	2.3979622119815662	174	7	885	926	11	217	269	19.7	0.05	1.2
17839	13	1	2	2	2	173	12	14.416666666666666	7.95	84.07	4.7	7.5	5.7	6.6	4.4	5.73	6.0	3.239740066225165	9.8	1.3	2.5559532008830024	115	7	645	667	12	151	195	12.6	0.08	1.3
17840	23	3	3	3	3	426	33	12.909090909090908	9.62	82.65	5.2	7.2	8.3	8.63	5.625	6.77	6.0	3.5552619047619047	23.83	1.5	1.7505619047619052	248	12	1537	1622	24	336	438	14.0	0.07	1.3
17841	16	2	2	2	2	185	11	16.818181818181817	6.47	86.13	5.9	5.8	5.9	4.24	10.2	6.52	6.0	4.058803921568627	9.48	1.3	0.9238692810457518	142	2	630	645	9	170	202	18.9	0.05	1.2
17842	18	2	2	2	3	142	7	20.285714285714285	5.56	78.59	6.8	8.4	8.1	6.96	11.2	7.16	7.0	4.264301587301587	8.06	2.0	2.726266666666667	96	6	533	549	7	126	168	18.0	0.06	1.3
17843	12	2	2	2	2	369	6	61.5	1.68	44.72	21.9	9.7	26.7	5.71	51.0	7.7	22.0	9.54026815642458	20.43	2.3	8.868557169459962	287	8	1365	1391	6	358	445	59.7	0.02	1.2
17844	10	1	1	2	2	100	9	11.11111111111111	10.23	85.69	4.0	7.6	2.6	3.63	5.125	6.69	4.0	3.2695454545454545	5.1	1.1	1.6745409090909091	66	5	335	347	8	88	115	11.0	0.09	1.3
17845	16	2	2	2	2	190	9	21.11111111111111	5.08	85.42	6.2	7.4	6.3	4.41	10.6	6.13	6.0	4.084969696969697	9.86	1.3	1.9446888888888894	149	5	658	671	9	176	208	19.6	0.05	1.2
17846	19	2	2	3	3	138	9	15.333333333333334	7.5	90.6	4.2	6.6	6.1	6.02	6.428571428571429	7.89	7.0	3.9214310344827585	7.33	1.3	1.468968965517242	92	3	478	499	8	116	144	14.5	0.07	1.2
17847	17	2	2	2	3	208	11	18.90909090909091	5.88	86.33	5.9	6.3	6.5	4.93	7.666666666666666	6.84	7.0	4.257518181818181	10.83	1.3	1.3775223529411762	155	3	716	737	10	187	223	18.7	0.05	1.2
17849	14	2	2	2	2	182	10	18.2	6.06	97.03	3.8	5.7	4.6	3.77	6.285714285714286	6.56	4.0	3.634590909090909	9.17	0.8	0.08889090909090891	150	2	607	624	10	165	182	16.5	0.06	1.1
17850	12	2	2	1	2	182	4	45.5	2.41	49.49	20.0	11.9	25.6	7.1	18.333333333333332	9.24	20.0	9.219454545454544	10.05	2.3	8.471242424242423	133	7	668	684	3	165	205	55.0	0.02	1.2
17851	16	2	2	2	2	198	13	15.23076923076923	7.74	86.44	5.8	5.8	6.8	4.93	10.2	7.58	6.0	4.073297405189621	9.86	1.5	1.0976086493679311	133	2	639	671	9	167	206	18.6	0.05	1.2
17852	17	2	3	2	2	264	17	15.529411764705882	7.52	71.38	9.5	8.5	10.8	6.22	10.2	7.54	11.0	5.369047197640118	13.84	2.0	3.2699937069813174	174	8	904	942	9	226	288	25.1	0.04	1.3
17853	16	2	2	2	2	104	8	13.0	8.6	83.56	4.9	8.0	7.3	8.4	6.285714285714286	9.61	8.0	4.374751552795031	6.35	1.6	3.094224844720497	67	5	421	432	7	92	124	13.1	0.08	1.3
17854	21	3	3	2	3	204	12	17.0	6.59	86.84	5.7	7.2	5.9	4.53	7.333333333333334	7.06	6.0	4.303002197802197	10.37	1.6	1.5196883516483513	145	5	684	706	10	182	226	18.2	0.05	1.2
17856	14	1	2	2	3	154	12	12.833333333333334	8.63	93.54	3.1	6.8	1.6	2.13	4.888888888888889	5.92	6.0	3.2765665467625897	7.48	0.9	0.8025247002398084	112	5	494	509	12	139	171	11.6	0.09	1.2
17857	18	2	2	2	3	168	9	18.666666666666668	5.81	85.93	6.0	8.5	7.0	5.46	11.2	7.16	6.0	4.434971405228758	8.99	1.6	2.8679941176470587	123	7	599	612	8	153	191	19.1	0.05	1.2
17858	24	3	3	3	3	213	16	13.3125	8.16	92.83	3.4	7.2	3.3	4.34	5.75	5.7	6.0	3.136658163265306	11.41	0.8	0.6660061224489793	165	8	760	777	16	196	237	12.3	0.08	1.2
17859	17	2	2	2	3	209	11	19.0	5.95	88.26	5.1	8.0	5.7	4.75	8.333333333333334	6.6	8.0	3.861174447174447	10.83	1.5	1.7172162162162157	151	8	712	737	11	185	230	16.8	0.06	1.2
17860	16	2	2	2	2	210	13	16.153846153846153	6.91	72.46	7.1	9.3	6.8	6.9	5.333333333333333	7.44	7.0	4.1916170212765955	11.99	1.9	3.1997326241134747	138	14	794	816	12	188	254	15.7	0.06	1.4
17861	16	2	2	2	2	147	5	29.4	3.57	76.9	9.5	7.6	9.9	4.13	17.0	6.15	10.0	5.155571428571427	7.59	1.8	3.202742857142857	115	3	510	517	5	140	169	28.0	0.04	1.2
17862	9	1	1	1	2	112	9	12.444444444444445	8.74	85.28	4.2	8.5	3.4	4.5	5.444444444444445	6.35	6.0	3.037132686084142	6.13	1.3	2.237540237324704	77	8	408	417	9	103	137	11.4	0.09	1.3
17863	6	0	1	1	1	59	4	14.75	7.84	79.6	6.4	6.4	7.8	7.07	7.833333333333334	6.96	8.0	4.416392156862745	3.31	1.7	1.8807333333333331	39	1	217	225	3	51	66	17.0	0.06	1.3
17864	10	2	2	1	1	117	4	29.25	3.74	87.08	7.6	6.0	8.8	3.37	12.75	6.75	6.0	5.113583333333333	5.6	1.4	1.72895238095238	91	1	369	381	4	105	120	26.3	0.04	1.1
17865	17	2	3	2	2	362	15	24.133333333333333	5.43	67.38	9.0	7.0	9.8	6.44	6.714285714285714	7.89	7.0	4.939515012868172	17.5	2.3	1.9493635115813555	179	6	1100	1191	13	269	368	20.7	0.05	1.4
17867	16	2	2	2	2	194	12	16.166666666666668	6.86	90.6	4.2	5.5	3.6	3.41	6.142857142857143	6.08	6.0	3.2789022988505745	9.64	0.9	0.35095172413793074	147	2	638	656	12	174	204	14.5	0.07	1.2
17868	15	2	2	2	2	378	18	21.0	5.36	79.43	8.5	6.7	11.2	6.74	5.5	7.05	7.0	5.026660004647919	20.58	1.8	2.9863988380199866	264	5	1353	1401	13	331	405	25.5	0.04	1.2
17869	11	1	1	2	2	127	10	12.7	8.77	75.81	5.8	8.2	6.2	7.41	5.222222222222222	7.07	7.0	3.591880952380952	7.48	1.6	2.221246825396826	82	7	494	509	9	112	152	12.4	0.08	1.4
17870	19	2	3	3	3	152	2	76.0	1.52	-33.07	49.7	0.0	64.2	9.48	54.0	13.81	50.0	20.029187499999995	8.65	3.0	21.111131249999996	90	5	565	589	1	128	172	128.0	0.01	1.3
17871	24	3	3	3	3	475	29	16.379310344827587	7.32	78.48	6.8	8.4	10.3	8.93	7.833333333333334	7.44	8.0	4.300029996250468	26.94	2.0	3.393157630296213	276	18	1743	1834	21	381	511	18.1	0.06	1.3
17872	18	2	2	3	3	186	13	14.307692307692308	8.28	82.34	5.3	7.7	5.0	4.86	5.0	7.26	5.0	3.618333526346265	9.46	1.4	1.4221643312101913	129	7	615	644	11	157	200	14.3	0.07	1.3
