id	overall_score	Ideas	Organization	Style	Conventions	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words
17834	15	1	2	2	3	94	3	31.333333333333332	3.33	0.0187	10.08	0.2553191489361702
17836	13	2	2	2	2	101	3	33.666666666666664	3.19	0.0093	9.24	0.10891089108910891
17837	15	2	2	2	2	166	1	166.0	0.64	0.028	14.29	0.15060240963855423
17838	17	2	2	2	3	257	13	19.76923076923077	5.91	0.0374	27.73	0.05058365758754864
17839	13	1	2	2	2	173	12	14.416666666666666	7.95	0.0467	16.81	0.03468208092485549
17840	23	3	3	3	3	426	33	12.909090909090908	9.62	0.0748	13.45	0.04460093896713615
17841	16	2	2	2	2	185	11	16.818181818181817	6.47	0.0187	14.29	0.03783783783783784
17842	18	2	2	2	3	142	7	20.285714285714285	5.56	0.0187	12.61	0.04225352112676056
17843	12	2	2	2	2	369	6	61.5	1.68	0.028	25.21	0.13821138211382114
17844	10	1	1	2	2	100	9	11.11111111111111	10.23	0.0093	12.61	0.05
17845	16	2	2	2	2	190	9	21.11111111111111	5.08	0.0374	14.29	0.06842105263157895
17846	19	2	2	3	3	138	9	15.333333333333334	7.5	0.0093	8.4	0.08695652173913043
17847	17	2	2	2	3	208	11	18.90909090909091	5.88	0.028	19.33	0.08653846153846154
17849	14	2	2	2	2	182	10	18.2	6.06	0.0187	15.13	0.054945054945054944
17850	12	2	2	1	2	182	4	45.5	2.41	0.0467	14.29	0.06043956043956044
17851	16	2	2	2	2	198	13	15.23076923076923	7.74	0.0187	10.92	0.10101010101010101
17852	17	2	3	2	2	264	17	15.529411764705882	7.52	0.028	17.65	0.07575757575757576
17853	16	2	2	2	2	104	8	13.0	8.6	0.0093	11.76	0.15384615384615385
17854	21	3	3	2	3	204	12	17.0	6.59	0.0374	10.08	0.058823529411764705
17856	14	1	2	2	3	154	12	12.833333333333334	8.63	0.0	15.97	0.03896103896103896
17857	18	2	2	2	3	168	9	18.666666666666668	5.81	0.0374	13.45	0.041666666666666664
17858	24	3	3	3	3	213	16	13.3125	8.16	0.0654	19.33	0.03286384976525822
17859	17	2	2	2	3	209	11	19.0	5.95	0.028	13.45	0.0430622009569378
17860	16	2	2	2	2	210	13	16.153846153846153	6.91	0.0093	15.97	0.08571428571428572
17861	16	2	2	2	2	147	5	29.4	3.57	0.0187	11.76	0.034013605442176874
17862	9	1	1	1	2	112	9	12.444444444444445	8.74	0.0093	9.24	0.15178571428571427
17863	6	0	1	1	1	59	4	14.75	7.84	0.0	10.08	0.13559322033898305
17864	10	2	2	1	1	117	4	29.25	3.74	0.0093	13.45	0.06837606837606838
17865	17	2	3	2	2	362	15	24.133333333333333	5.43	0.0374	18.49	0.027624309392265192
17867	16	2	2	2	2	194	12	16.166666666666668	6.86	0.0374	21.85	0.08247422680412371
17868	15	2	2	2	2	378	18	21.0	5.36	0.028	30.25	0.06613756613756613
17869	11	1	1	2	2	127	10	12.7	8.77	0.0	9.24	0.03937007874015748
17870	19	2	3	3	3	152	2	76.0	1.52	0.0187	11.76	0.14473684210526316
17871	24	3	3	3	3	475	29	16.379310344827587	7.32	0.0467	26.89	0.06736842105263158
17872	18	2	2	3	3	186	13	14.307692307692308	8.28	0.0374	11.76	0.03763440860215054
