id	overall_score	Ideas_and_Content	Organization	Voice	Word_Choice	Sentence_Fluency	Conventions	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
20716	34	4	4	4	4	4	3	835	39	21.41025641025641	5.51	81.26	7.8	7.8	9.9	5.69	10.2	6.24	10.0	4.5842203098106715	40.27	1.7	2.5027092943201383	549	19	2598	2741	28	664	806	23.7	0.04	1.2
20717	46	6	5	6	5	5	5	863	30	28.766666666666666	3.82	78.93	8.7	8.9	10.8	6.04	13.5	6.73	9.0	5.166538461538462	46.71	1.8	3.0962	642	31	3097	3180	30	780	954	26.0	0.04	1.2
20718	40	4	4	4	4	4	4	969	39	24.846153846153847	4.53	74.83	8.2	8.5	9.1	6.15	6.857142857142857	6.5	7.0	4.51333671988389	52.11	1.9	2.696872544750846	654	34	3426	3547	39	848	1085	21.7	0.05	1.3
20719	30	4	4	4	4	3	3	763	30	25.433333333333334	4.21	50.3	19.7	9.1	23.7	5.24	13.25	7.67	20.0	8.802701582105836	39.52	2.0	6.943717948717949	594	14	2630	2690	13	705	830	54.2	0.02	1.2
20721	26	3	3	3	3	3	3	708	26	27.23076923076923	4.02	80.99	10.0	4.4	11.5	3.38	7.333333333333334	6.9	7.0	5.706249999999999	33.77	1.4	2.0944093023255816	579	1	2234	2299	20	645	712	32.3	0.03	1.1
20722	40	4	4	4	4	4	4	1043	72	14.48611111111111	9.94	62.31	11.0	6.9	14.1	8.07	13.75	7.03	11.0	5.2563057957092525	49.15	2.5	3.361002198740527	449	12	3000	3346	27	694	954	25.7	0.04	1.4
20723	40	4	4	4	4	4	4	1056	82	12.878048780487806	9.7	81.12	5.8	7.1	7.0	6.15	7.142857142857142	6.83	7.0	3.9046623054675664	52.96	1.6	1.3904766285635586	617	26	3366	3605	53	822	1060	15.5	0.06	1.3
20724	34	4	3	4	4	4	4	315	17	18.529411764705884	5.78	86.84	5.7	8.5	6.3	5.22	19.0	5.62	6.0	3.669416881443299	16.94	1.4	1.2685273195876285	246	14	1128	1153	16	291	354	18.2	0.05	1.2
20725	41	4	5	4	5	4	4	855	48	17.8125	6.27	80.31	6.1	9.0	7.7	7.31	7.428571428571429	6.64	8.0	3.9335505229649836	48.05	1.9	2.852022003941185	545	47	3143	3271	45	733	978	16.3	0.06	1.3
20726	40	4	4	5	4	4	4	668	40	16.7	7.23	79.8	6.3	7.6	8.7	7.71	7.5	6.83	8.0	3.986944029850746	36.3	2.0	2.458939552238806	376	20	2336	2471	32	536	723	16.8	0.06	1.3
20727	31	3	4	4	3	3	3	493	18	27.38888888888889	4.07	80.55	8.1	7.6	10.2	6.16	13.75	7.44	8.0	5.100612376613515	26.57	1.8	2.602024955707416	352	11	1753	1809	18	439	543	24.4	0.04	1.2
20728	44	5	4	4	4	4	4	981	37	26.513513513513512	4.43	53.24	12.4	12.9	14.5	9.87	15.75	7.82	13.0	5.6254838709677415	58.0	3.2	5.914395287792535	593	91	3780	3948	31	816	1230	26.3	0.04	1.5
20732	31	4	3	4	3	3	3	845	17	49.705882352941174	2.08	22.59	30.4	10.6	36.6	5.02	18.0	8.8	11.0	12.66816871165644	43.98	2.0	11.162192638036808	707	17	2967	2994	10	815	943	81.5	0.01	1.2
20733	36	4	4	4	4	4	4	628	31	20.258064516129032	5.49	78.59	6.8	8.8	7.8	6.61	5.75	5.74	7.0	3.7353945409429277	35.3	1.8	2.3157896127878126	435	31	2332	2403	31	559	722	18.0	0.06	1.3
20734	43	4	4	5	5	5	5	1006	54	18.62962962962963	6.8	69.92	8.0	10.1	10.5	8.81	5.0	7.56	8.0	4.482544560943643	54.44	2.4	3.702139012669287	549	63	3469	3706	42	763	1074	18.2	0.06	1.4
20735	20	2	2	3	3	2	2	135	4	33.75	2.92	63.56	12.5	11.7	16.3	9.24	18.666666666666668	7.07	13.0	6.11323854961832	8.74	2.3	5.265227480916032	102	9	585	595	4	131	169	32.8	0.03	1.3
20736	45	5	5	5	5	5	5	833	41	20.317073170731707	5.66	72.8	9.0	9.3	10.9	7.26	11.8	6.79	7.0	4.991107876230661	45.42	2.2	3.4174571589310823	536	35	2969	3092	30	711	934	23.7	0.04	1.3
20737	40	4	4	5	4	4	4	593	38	15.605263157894736	7.1	89.58	4.6	7.3	5.6	5.51	4.4	5.63	6.0	3.4358440285204987	31.83	1.3	1.4376161319073084	430	18	2102	2167	34	528	647	15.5	0.06	1.2
20739	30	3	3	4	3	3	3	831	52	15.98076923076923	6.94	90.09	4.4	7.8	4.6	4.23	7.428571428571429	5.73	5.0	3.2699183673469387	42.57	1.1	0.6739115646258509	629	33	2799	2898	49	735	884	15.0	0.07	1.2
20741	35	4	4	4	4	4	4	329	30	10.966666666666667	10.71	86.3	3.8	6.8	4.5	5.77	4.3	6.86	5.0	3.038365079365079	18.11	1.0	0.8921759259259265	209	11	1184	1233	27	280	363	10.4	0.1	1.3
20742	40	4	4	4	4	4	4	715	28	25.535714285714285	4.42	81.67	7.7	8.5	9.6	6.04	8.5	6.4	9.0	4.661380952380952	38.0	1.8	2.933206349206349	509	24	2501	2587	27	630	779	23.3	0.04	1.2
20743	42	5	5	5	4	4	4	1022	61	16.75409836065574	7.12	70.77	9.8	9.7	12.3	7.49	8.0	7.39	10.0	5.2533104631217835	55.19	2.2	3.723644182389936	660	43	3582	3757	33	848	1103	25.7	0.04	1.3
20745	34	4	4	4	4	4	3	595	7	85.0	1.35	-73.3	63.1	25.5	80.3	9.77	31.0	13.72	26.0	24.060648535564848	32.95	3.5	27.792123291492327	325	46	2130	2243	3	478	686	159.3	0.01	1.4
20746	33	4	4	4	4	3	3	948	32	29.625	3.74	64.51	14.2	7.6	16.9	5.36	10.6	7.01	8.0	6.944008801624914	48.08	1.9	4.437169893929134	706	13	3166	3273	21	844	998	40.2	0.02	1.2
20747	38	4	4	4	4	4	4	395	22	17.954545454545453	6.13	79.6	6.4	8.4	6.9	6.26	6.25	6.61	7.0	4.050634028892455	22.05	1.7	2.3794942750133767	271	18	1463	1501	21	356	462	17.0	0.06	1.3
20748	36	4	4	4	3	3	4	757	40	18.925	5.78	85.93	6.0	8.0	7.1	5.51	9.0	6.47	6.0	4.171166666666666	40.76	1.6	1.893706266149871	553	26	2703	2775	36	688	854	19.1	0.05	1.2
20751	45	5	5	5	5	5	5	687	37	18.56756756756757	5.96	88.47	5.0	7.5	5.7	4.87	7.5	6.36	8.0	3.87916357073686	36.05	1.4	1.4193882031868998	498	22	2379	2454	37	614	757	16.6	0.06	1.2
20754	31	4	3	4	4	3	3	894	36	24.833333333333332	4.28	73.51	8.7	8.2	9.1	5.93	13.25	6.0	9.0	4.51124839163651	49.09	1.9	2.6371624179064463	652	28	3273	3342	36	829	1043	23.0	0.04	1.3
20755	30	3	3	4	3	3	3	281	17	16.529411764705884	7.39	79.19	6.5	7.9	8.5	7.07	6.142857142857143	6.04	7.0	3.8990803267528924	14.94	1.7	2.1929908781484	173	9	961	1017	13	226	292	17.4	0.06	1.3
20756	34	4	4	4	4	4	3	806	18	44.77777777777778	2.42	42.99	22.5	13.2	28.3	6.52	19.333333333333332	8.37	23.0	10.245561397557665	43.79	2.4	9.26054237901402	602	37	2912	2981	12	737	920	61.4	0.02	1.2
20757	33	4	4	4	4	4	3	817	27	30.25925925925926	3.67	64.31	14.3	9.6	19.1	7.91	17.333333333333332	6.64	8.0	6.782251490142135	46.17	2.1	5.535298700901726	601	23	3048	3143	18	727	899	40.4	0.02	1.2
20758	40	4	4	4	4	5	4	1007	62	16.241935483870968	7.1	80.01	6.2	8.6	6.6	5.62	6.714285714285714	5.54	6.0	3.601547426037553	52.24	1.7	2.2212033118547776	657	47	3398	3556	51	849	1105	16.6	0.06	1.3
20759	47	4	5	5	5	5	5	914	64	14.28125	8.54	80.31	6.1	7.7	6.8	5.68	7.833333333333334	6.88	8.0	3.982463396911898	45.91	1.6	2.025691892219194	565	29	2942	3125	45	734	942	16.3	0.06	1.3
20760	30	3	3	3	3	3	3	1023	54	18.944444444444443	6.42	77.57	7.2	8.1	8.9	7.14	11.0	6.7	7.0	4.45204096352749	54.35	2.0	2.7282634730538917	605	33	3513	3700	44	835	1105	19.0	0.05	1.3
20761	40	4	4	4	4	4	4	973	61	15.950819672131148	7.08	82.04	5.4	8.4	5.9	5.85	7.571428571428571	6.17	6.0	3.588523042787933	52.83	1.5	1.7878653828929694	665	49	3468	3596	58	847	1089	14.6	0.07	1.3
20762	32	3	4	4	4	4	3	517	22	23.5	4.76	72.6	9.1	9.8	10.1	6.33	11.0	6.42	10.0	4.7259086176980905	27.78	1.9	3.3647362637362637	363	26	1827	1891	19	455	575	23.9	0.04	1.3
20763	40	4	4	5	4	4	4	967	53	18.245283018867923	6.23	79.4	6.5	8.0	6.5	5.39	5.444444444444445	6.27	7.0	3.91978576264629	50.92	1.6	1.633311471128735	660	35	3343	3466	49	844	1076	17.2	0.06	1.3
