id	overall_score	Ideas_and_Content	Organization	Voice	Word_Choice	Sentence_Fluency	Conventions	total_words	total_sentences	words_div_sentences	sent_density
20716	34	4	4	4	4	4	3	835	39	21.41025641025641	5.51
20717	46	6	5	6	5	5	5	863	30	28.766666666666666	3.82
20718	40	4	4	4	4	4	4	969	39	24.846153846153847	4.53
20719	30	4	4	4	4	3	3	763	30	25.433333333333334	4.21
20721	26	3	3	3	3	3	3	708	26	27.23076923076923	4.02
20722	40	4	4	4	4	4	4	1043	72	14.48611111111111	9.94
20723	40	4	4	4	4	4	4	1056	82	12.878048780487806	9.7
20724	34	4	3	4	4	4	4	315	17	18.529411764705884	5.78
20725	41	4	5	4	5	4	4	855	48	17.8125	6.27
20726	40	4	4	5	4	4	4	668	40	16.7	7.23
20727	31	3	4	4	3	3	3	493	18	27.38888888888889	4.07
20728	44	5	4	4	4	4	4	981	37	26.513513513513512	4.43
20732	31	4	3	4	3	3	3	845	17	49.705882352941174	2.08
20733	36	4	4	4	4	4	4	628	31	20.258064516129032	5.49
20734	43	4	4	5	5	5	5	1006	54	18.62962962962963	6.8
20735	20	2	2	3	3	2	2	135	4	33.75	2.92
20736	45	5	5	5	5	5	5	833	41	20.317073170731707	5.66
20737	40	4	4	5	4	4	4	593	38	15.605263157894736	7.1
20739	30	3	3	4	3	3	3	831	52	15.98076923076923	6.94
20741	35	4	4	4	4	4	4	329	30	10.966666666666667	10.71
20742	40	4	4	4	4	4	4	715	28	25.535714285714285	4.42
20743	42	5	5	5	4	4	4	1022	61	16.75409836065574	7.12
20745	34	4	4	4	4	4	3	595	7	85.0	1.35
20746	33	4	4	4	4	3	3	948	32	29.625	3.74
20747	38	4	4	4	4	4	4	395	22	17.954545454545453	6.13
20748	36	4	4	4	3	3	4	757	40	18.925	5.78
20751	45	5	5	5	5	5	5	687	37	18.56756756756757	5.96
20754	31	4	3	4	4	3	3	894	36	24.833333333333332	4.28
20755	30	3	3	4	3	3	3	281	17	16.529411764705884	7.39
