id	overall_score	Ideas_and_Content	Organization	Voice	Word_Choice	Sentence_Fluency	Conventions	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words	difficult_words	proportion_vocab_list[a]_total_words	proportion_vocab_list[a]_headwords	proportion_vocab_list[accent]_total_words	proportion_vocab_list[accent]_headwords	proportion_vocab_list[abandon]_total_words	proportion_vocab_list[abandon]_headwords	proportion_vocab_list[abnormal]_total_words	proportion_vocab_list[abnormal]_headwords	proportion_vocab_list[abbey]_total_words	proportion_vocab_list[abbey]_headwords	proportion_vocab_list[abduct]_total_words	proportion_vocab_list[abduct]_headwords	proportion_vocab_list[abate]_total_words	proportion_vocab_list[abate]_headwords	proportion_vocab_list[aback]_total_words	proportion_vocab_list[aback]_headwords	proportion_vocab_list[abbot]_total_words	proportion_vocab_list[abbot]_headwords	proportion_vocab_list[abet]_total_words	proportion_vocab_list[abet]_headwords	proportion_vocab_list[abrasion]_total_words	proportion_vocab_list[abrasion]_headwords	proportion_vocab_list[aberrant]_total_words	proportion_vocab_list[aberrant]_headwords	proportion_vocab_list[abattoir]_total_words	proportion_vocab_list[abattoir]_headwords	proportion_vocab_list[abashed]_total_words	proportion_vocab_list[abashed]_headwords	proportion_vocab_list[abacus]_total_words	proportion_vocab_list[abacus]_headwords	proportion_vocab_list[abalone]_total_words	proportion_vocab_list[abalone]_headwords	proportion_vocab_list[abductee]_total_words	proportion_vocab_list[abductee]_headwords	proportion_vocab_list[aardvark]_total_words	proportion_vocab_list[aardvark]_headwords	proportion_vocab_list[abnegate]_total_words	proportion_vocab_list[abnegate]_headwords	proportion_vocab_list[abaya]_total_words	proportion_vocab_list[abaya]_headwords	proportion_vocab_list[abaft]_total_words	proportion_vocab_list[abaft]_headwords	proportion_vocab_list[abomasum]_total_words	proportion_vocab_list[abomasum]_headwords	proportion_vocab_list[abettor]_total_words	proportion_vocab_list[abettor]_headwords	proportion_vocab_list[acetal]_total_words	proportion_vocab_list[acetal]_headwords	proportion_vocab_list[ablaut]_total_words	proportion_vocab_list[ablaut]_headwords	proportion_vocab_list[a1]_total_words	proportion_vocab_list[a1]_headwords	proportion_vocab_list[ah]_total_words	proportion_vocab_list[ah]_headwords	proportion_vocab_list[absentminded]_total_words	proportion_vocab_list[absentminded]_headwords	proportion_vocab_list[aal]_total_words	proportion_vocab_list[aal]_headwords	unique_words	ttrr	num_types	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word	nlemma_types	n_bigram_lemma_types	n_trigram_lemma_types	nlemmas	n_bigram_lemmas	n_trigram_lemmas	ncontent_types	ncontent_tokens	content_ttr	nfunction_tokens	nfunction_types	function_ttr	nouns_total	nouns_unique	ttr_nouns	determiners_unique	determiners_per_words	determiners_total	conjunctions_unique	conjunctions_total	conjunctions_per_words	pronouns_unique	pronouns_total	pronouns_density	pronouns_noun_ratio
20716	34	4	4	4	4	4	3	835	39	21.41025641025641	5.51	0.0467	30.25	0.0718562874251497	31	0.2311377245508982	0.028146419717077438	0.009580838323353293	0.0012558869701726845	0.0011976047904191617	0.00017006802721088434	0.003592814371257485	0.0006166495375128469	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	0.0002924831822170225	0.0011976047904191617	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	4.462492748449284e-05	0.0023952095808383233	0.01020408163265306	0.0011976047904191617	0.00016545334215751158	0.0	0.0	34.32	0.34	243	81.26	7.8	7.8	9.9	5.69	10.2	6.24	10.0	4.5842203098106715	40.27	1.7	2.5027092943201383	549	19	2598	2741	28	664	806	23.7	0.04	1.2	243	242	241	708	707	706	173	408	0.424	300	70	0.2333	54	17	0.3148	1	0.06356	45	2	24	0.0339	2	51	0.07203	0.94
20717	46	6	5	6	5	5	5	863	30	28.766666666666666	3.82	0.0935	45.38	0.019698725376593278	60	0.2862108922363847	0.03602158378299548	0.023174971031286212	0.0031397174254317113	0.005793742757821553	0.0008503401360544217	0.008111239860950173	0.0014388489208633094	0.0011587485515643105	0.00023282887077997672	0.0034762456546929316	0.0007313505607020966	0.002317497103128621	0.0005436259853220984	0.0	0.0	0.0	0.0	0.0011587485515643105	0.00033534540576794097	0.0	0.0	0.0	0.0	0.0011587485515643105	0.00041407867494824016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011587485515643105	0.00016545334215751158	0.0	0.0	38.22	0.38	300	78.93	8.7	8.9	10.8	6.04	13.5	6.73	9.0	5.166538461538462	46.71	1.8	3.0962	642	31	3097	3180	30	780	954	26.0	0.04	1.2	300	299	298	785	784	783	227	430	0.5279	355	73	0.2056	56	34	0.6071	1	0.08535	67	2	27	0.03439	2	15	0.01911	0.27
20718	40	4	4	4	4	4	4	969	39	24.846153846153847	4.53	0.0935	51.26	0.0196078431372549	60	0.24974200206398348	0.03529240192504011	0.025799793601651185	0.003924646781789639	0.006191950464396285	0.0010204081632653062	0.010319917440660475	0.0020554984583761563	0.006191950464396285	0.0013969732246798604	0.0010319917440660474	0.00024378352023403217	0.0	0.0	0.0020639834881320948	0.000584966364434045	0.0020639834881320948	0.0006257822277847309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020639834881320948	0.00033090668431502316	0.0010319917440660474	0.0008703220191470844	36.12	0.36	311	74.83	8.2	8.5	9.1	6.15	6.857142857142857	6.5	7.0	4.51333671988389	52.11	1.9	2.696872544750846	654	34	3426	3547	39	848	1085	21.7	0.05	1.3	311	310	309	861	860	859	232	472	0.4915	389	79	0.2031	38	22	0.5789	1	0.10105	87	2	31	0.036	2	18	0.02091	0.47
20719	30	4	4	4	4	3	3	763	30	25.433333333333334	4.21	0.0561	34.45	0.0799475753604194	26	0.2778505897771953	0.03091731077730786	0.015727391874180863	0.0018838304552590266	0.001310615989515072	0.00017006802721088434	0.002621231979030144	0.00041109969167523125	0.0	0.0	0.005242463958060288	0.0009751340809361287	0.0	0.0	0.0	0.0	0.0	0.0	0.001310615989515072	0.00033534540576794097	0.001310615989515072	0.0003399048266485384	0.0	0.0	0.0	0.0	0.0	0.0	0.001310615989515072	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002621231979030144	0.01020408163265306	0.001310615989515072	0.00016545334215751158	0.001310615989515072	0.0008703220191470844	34.5	0.35	246	50.3	19.7	9.1	23.7	5.24	13.25	7.67	20.0	8.802701582105836	39.52	2.0	6.943717948717949	594	14	2630	2690	13	705	830	54.2	0.02	1.2	246	245	244	713	712	711	172	327	0.526	386	74	0.1917	37	18	0.4865	1	0.1136	81	2	7	0.00982	2	20	0.02805	0.54
20721	26	3	3	3	3	3	3	708	26	27.23076923076923	4.02	0.0467	22.69	0.1652542372881356	24	0.21045197740112995	0.021729619367070147	0.0014124293785310734	0.00015698587127158556	0.002824858757062147	0.0003401360544217687	0.0	0.0	0.00423728813559322	0.0006984866123399302	0.0014124293785310734	0.00024378352023403217	0.0	0.0	0.002824858757062147	0.000584966364434045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00423728813559322	0.0001338747824534785	0.00847457627118644	0.030612244897959183	0.0	0.0	0.002824858757062147	0.0017406440382941688	30.5	0.3	197	80.99	10.0	4.4	11.5	3.38	7.333333333333334	6.9	7.0	5.706249999999999	33.77	1.4	2.0944093023255816	579	1	2234	2299	20	645	712	32.3	0.03	1.1	197	196	195	646	645	644	146	310	0.471	336	51	0.1518	55	16	0.2909	1	0.05573	36	2	28	0.04334	2	29	0.04489	0.53
20722	40	4	4	4	4	4	4	1043	72	14.48611111111111	9.94	0.028	29.41	0.007670182166826462	64	0.16395014381591563	0.024938019542073794	0.016299137104506232	0.0026687598116169543	0.003835091083413231	0.0006802721088435374	0.0019175455417066154	0.00041109969167523125	0.0028763183125599234	0.0006984866123399302	0.0028763183125599234	0.0007313505607020966	0.0019175455417066154	0.0005436259853220984	0.0	0.0	0.0	0.0	0.0	0.0	0.0009587727708533077	0.0003399048266485384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028763183125599234	0.0004963600264725347	0.0009587727708533077	0.0008703220191470844	33.98	0.34	246	62.31	11.0	6.9	14.1	8.07	13.75	7.03	11.0	5.2563057957092525	49.15	2.5	3.361002198740527	449	12	3000	3346	27	694	954	25.7	0.04	1.4	246	245	244	724	723	722	183	482	0.3797	242	63	0.2603	221	42	0.19	1	0.07459	54	1	6	0.00829	1	17	0.02348	0.08
20723	40	4	4	4	4	4	4	1056	82	12.878048780487806	9.7	0.0748	38.66	0.01231060606060606	84	0.22443181818181818	0.03456322006708473	0.032196969696969696	0.005337519623233909	0.003787878787878788	0.0006802721088435374	0.006628787878787879	0.0014388489208633094	0.004734848484848485	0.0011641443538998836	0.002840909090909091	0.0007313505607020966	0.001893939393939394	0.0005436259853220984	0.000946969696969697	0.0002924831822170225	0.000946969696969697	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000946969696969697	4.462492748449284e-05	0.0	0.0	0.003787878787878788	0.0006618133686300463	0.002840909090909091	0.0026109660574412533	40.83	0.41	345	81.12	5.8	7.1	7.0	6.15	7.142857142857142	6.83	7.0	3.9046623054675664	52.96	1.6	1.3904766285635586	617	26	3366	3605	53	822	1060	15.5	0.06	1.3	345	344	343	845	844	843	271	479	0.5658	366	74	0.2022	105	43	0.4095	1	0.07929	67	2	31	0.03669	2	29	0.03432	0.28
20724	34	4	3	4	4	4	4	315	17	18.529411764705884	5.78	0.0374	24.37	0.06031746031746032	9	0.32063492063492066	0.014729473530698556	0.012698412698412698	0.0006279434850863422	0.009523809523809525	0.0005102040816326531	0.0	0.0	0.0031746031746031746	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006349206349206349	0.01020408163265306	0.0	0.0	0.0	0.0	41.16	0.41	121	86.84	5.7	8.5	6.3	5.22	19.0	5.62	6.0	3.669416881443299	16.94	1.4	1.2685273195876285	246	14	1128	1153	16	291	354	18.2	0.05	1.2	121	120	119	294	293	292	75	138	0.5435	156	46	0.2949	12	10	0.8333	1	0.07823	23	1	15	0.05102	1	5	0.01701	0.42
20725	41	4	5	4	5	4	4	855	48	17.8125	6.27	0.0748	50.42	0.005847953216374269	68	0.2549707602339181	0.03179232900685431	0.031578947368421054	0.00423861852433281	0.017543859649122806	0.002551020408163265	0.012865497076023392	0.0022610483042137717	0.005847953216374269	0.0011641443538998836	0.0	0.0	0.0011695906432748538	0.0002718129926610492	0.0035087719298245615	0.0008774495466510676	0.0	0.0	0.0023391812865497076	0.0006706908115358819	0.0	0.0	0.0011695906432748538	0.00036310820624546115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011695906432748538	0.0008703220191470844	40.34	0.4	309	80.31	6.1	9.0	7.7	7.31	7.428571428571429	6.64	8.0	3.9335505229649836	48.05	1.9	2.852022003941185	545	47	3143	3271	45	733	978	16.3	0.06	1.3	309	308	307	766	765	764	229	393	0.5827	373	80	0.2145	44	24	0.5455	1	0.08486	65	2	29	0.03786	2	29	0.03786	0.66
20726	40	4	4	5	4	4	4	668	40	16.7	7.23	0.0561	32.77	0.017964071856287425	49	0.2934131736526946	0.028583928831850663	0.02245508982035928	0.002354788069073783	0.004491017964071856	0.0005102040816326531	0.004491017964071856	0.0006166495375128469	0.004491017964071856	0.0006984866123399302	0.0014970059880239522	0.00024378352023403217	0.0014970059880239522	0.0002718129926610492	0.0	0.0	0.0014970059880239522	0.00031289111389236547	0.0014970059880239522	0.00033534540576794097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014970059880239522	0.00047938638542665386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014970059880239522	0.00016545334215751158	0.0014970059880239522	0.0008703220191470844	44.67	0.45	247	79.8	6.3	7.6	8.7	7.71	7.5	6.83	8.0	3.986944029850746	36.3	2.0	2.458939552238806	376	20	2336	2471	32	536	723	16.8	0.06	1.3	247	246	245	553	552	551	175	321	0.5452	232	72	0.3103	91	30	0.3297	1	0.07233	40	2	15	0.02712	2	2	0.00362	0.02
