id	overall_score	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words	difficult_words	proportion_vocab_list[a]_total_words	proportion_vocab_list[a]_headwords	proportion_vocab_list[accent]_total_words	proportion_vocab_list[accent]_headwords	proportion_vocab_list[abandon]_total_words	proportion_vocab_list[abandon]_headwords	proportion_vocab_list[abnormal]_total_words	proportion_vocab_list[abnormal]_headwords	proportion_vocab_list[abbey]_total_words	proportion_vocab_list[abbey]_headwords	proportion_vocab_list[abduct]_total_words	proportion_vocab_list[abduct]_headwords	proportion_vocab_list[abate]_total_words	proportion_vocab_list[abate]_headwords	proportion_vocab_list[aback]_total_words	proportion_vocab_list[aback]_headwords	proportion_vocab_list[abbot]_total_words	proportion_vocab_list[abbot]_headwords	proportion_vocab_list[abet]_total_words	proportion_vocab_list[abet]_headwords	proportion_vocab_list[abrasion]_total_words	proportion_vocab_list[abrasion]_headwords	proportion_vocab_list[aberrant]_total_words	proportion_vocab_list[aberrant]_headwords	proportion_vocab_list[abattoir]_total_words	proportion_vocab_list[abattoir]_headwords	proportion_vocab_list[abashed]_total_words	proportion_vocab_list[abashed]_headwords	proportion_vocab_list[abacus]_total_words	proportion_vocab_list[abacus]_headwords	proportion_vocab_list[abalone]_total_words	proportion_vocab_list[abalone]_headwords	proportion_vocab_list[abductee]_total_words	proportion_vocab_list[abductee]_headwords	proportion_vocab_list[aardvark]_total_words	proportion_vocab_list[aardvark]_headwords	proportion_vocab_list[abnegate]_total_words	proportion_vocab_list[abnegate]_headwords	proportion_vocab_list[abaya]_total_words	proportion_vocab_list[abaya]_headwords	proportion_vocab_list[abaft]_total_words	proportion_vocab_list[abaft]_headwords	proportion_vocab_list[abomasum]_total_words	proportion_vocab_list[abomasum]_headwords	proportion_vocab_list[abettor]_total_words	proportion_vocab_list[abettor]_headwords	proportion_vocab_list[acetal]_total_words	proportion_vocab_list[acetal]_headwords	proportion_vocab_list[ablaut]_total_words	proportion_vocab_list[ablaut]_headwords	proportion_vocab_list[a1]_total_words	proportion_vocab_list[a1]_headwords	proportion_vocab_list[ah]_total_words	proportion_vocab_list[ah]_headwords	proportion_vocab_list[absentminded]_total_words	proportion_vocab_list[absentminded]_headwords	proportion_vocab_list[aal]_total_words	proportion_vocab_list[aal]_headwords	unique_words	ttrr	num_types	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word	nlemma_types	n_bigram_lemma_types	n_trigram_lemma_types	nlemmas	n_bigram_lemmas	n_trigram_lemmas	ncontent_types	ncontent_tokens	content_ttr	nfunction_tokens	nfunction_types	function_ttr	nouns_total	nouns_unique	ttr_nouns	determiners_unique	determiners_per_words	determiners_total	conjunctions_unique	conjunctions_total	conjunctions_per_words	pronouns_unique	pronouns_total	pronouns_density	pronouns_noun_ratio
1	8	386	16	24.125	4.57	0.0374	26.89	0.04404145077720207	28	0.3160621761658031	0.017792037334111128	0.03367875647668394	0.0020408163265306124	0.0	0.0	0.0025906735751295338	0.00020554984583761563	0.0025906735751295338	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025906735751295338	0.0008703220191470844	47.43	0.47	166	74.02	8.5	10.2	11.3	8.54	8.666666666666666	7.0	9.0	4.72134005934718	22.59	2.2	3.930506785361028	262	23	1483	1538	15	337	446	22.5	0.04	1.3	166	165	164	350	349	348	110	177	0.6215	173	56	0.3237	29	21	0.7241	1	0.05714	20	2	5	0.01429	2	10	0.02857	0.34
2	9	464	20	23.2	4.73	0.028	38.66	0.05387931034482758	51	0.32112068965517243	0.021729619367070147	0.017241379310344827	0.0012558869701726845	0.01293103448275862	0.0010204081632653062	0.0021551724137931034	0.00020554984583761563	0.004310344827586207	0.00046565774155995343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004310344827586207	0.00033090668431502316	0.0	0.0	46.34	0.46	196	67.08	9.1	11.6	10.1	7.95	10.166666666666666	7.28	10.0	4.839728042959427	27.47	2.5	4.817792267303103	305	44	1824	1870	20	419	585	21.0	0.05	1.4	196	195	194	423	422	421	136	238	0.5714	185	60	0.3243	59	31	0.5254	1	0.08274	35	2	15	0.03546	2	9	0.02128	0.15
3	7	313	14	22.357142857142858	4.95	0.0093	29.41	0.054313099041533544	37	0.3706070287539936	0.016917019104564678	0.038338658146964855	0.0018838304552590266	0.022364217252396165	0.0011904761904761906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.36	0.53	151	68.2	8.7	12.0	9.9	8.3	8.142857142857142	7.62	9.0	4.789430363543266	18.55	2.6	4.934870762928828	200	34	1229	1263	14	279	399	19.9	0.05	1.4	151	150	149	283	282	281	97	147	0.6599	136	54	0.3971	47	30	0.6383	1	0.09541	27	2	15	0.053	2	5	0.01767	0.11
4	10	611	27	22.62962962962963	5.09	0.028	38.66	0.049099836333878884	98	0.24386252045826515	0.021729619367070147	0.03764320785597381	0.003610675039246468	0.01800327332242226	0.0018707482993197278	0.0016366612111292963	0.00020554984583761563	0.0016366612111292963	0.00023282887077997672	0.0016366612111292963	0.00024378352023403217	0.0	0.0	0.0016366612111292963	0.0002924831822170225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016366612111292963	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009819967266775777	0.0009927200529450694	0.0	0.0	47.36	0.47	251	53.34	12.3	13.7	15.4	11.26	15.5	8.67	14.0	6.141596946564885	38.81	3.3	7.23033465648855	335	69	2551	2642	20	524	805	26.2	0.04	1.5	251	250	249	530	529	528	193	318	0.6069	212	58	0.2736	124	64	0.5161	1	0.08113	43	2	9	0.01698	2	13	0.02453	0.1
5	8	517	30	17.233333333333334	6.34	0.0374	38.66	0.03288201160541586	47	0.28433268858800775	0.021437946623887996	0.03481624758220503	0.00282574568288854	0.0019342359767891683	0.00017006802721088434	0.0019342359767891683	0.00020554984583761563	0.0038684719535783366	0.00046565774155995343	0.0	0.0	0.0	0.0	0.0019342359767891683	0.0002924831822170225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038684719535783366	8.924985496898568e-05	0.0	0.0	0.0038684719535783366	0.00033090668431502316	0.0019342359767891683	0.0008703220191470844	42.49	0.42	201	72.66	7.0	11.1	7.7	8.0	8.428571428571429	6.51	8.0	3.8937473118279566	30.92	2.2	4.200750537634409	339	58	2050	2105	30	465	660	15.5	0.06	1.4	201	200	199	473	472	471	134	249	0.5382	224	67	0.2991	50	31	0.62	1	0.11416	54	2	12	0.02537	2	10	0.02114	0.2
6	8	274	15	18.266666666666666	6.07	0.0187	18.49	0.06569343065693431	24	0.3284671532846715	0.013125273443196733	0.025547445255474453	0.001098901098901099	0.0072992700729927005	0.0003401360544217687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036496350364963502	0.0002924831822170225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036496350364963502	4.462492748449284e-05	0.0	0.0	0.0072992700729927005	0.00033090668431502316	0.0	0.0	51.82	0.52	128	77.67	7.1	10.4	7.8	6.33	10.166666666666666	6.88	7.0	4.346178236397748	15.15	1.9	3.220157973733583	197	21	1001	1031	13	246	322	18.9	0.05	1.3	128	127	126	247	246	245	85	121	0.7025	126	43	0.3413	26	18	0.6923	1	0.09312	23	2	8	0.03239	2	3	0.01215	0.12
7	10	580	30	19.333333333333332	5.91	0.0654	42.02	0.010344827586206896	59	0.2827586206896552	0.02391716494093627	0.034482758620689655	0.0031397174254317113	0.01206896551724138	0.0011904761904761906	0.0034482758620689655	0.00041109969167523125	0.0	0.0	0.0017241379310344827	0.00024378352023403217	0.0017241379310344827	0.0002718129926610492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005172413793103448	0.0004963600264725347	0.0	0.0	43.7	0.44	222	70.94	7.6	10.7	9.0	8.29	10.666666666666666	6.96	9.0	4.282006081127772	33.93	2.4	4.018786690622624	351	51	2228	2310	29	499	709	17.2	0.06	1.4	222	221	220	508	507	506	155	273	0.5678	235	67	0.2851	41	21	0.5122	1	0.08465	43	2	14	0.02756	2	28	0.05512	0.68
8	10	556	39	14.256410256410257	7.68	0.0187	36.97	0.012589928057553957	37	0.29136690647482016	0.02362549219775412	0.017985611510791366	0.0015698587127158557	0.01079136690647482	0.0010204081632653062	0.0017985611510791368	0.00020554984583761563	0.0	0.0	0.0017985611510791368	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971223021582736	0.00033090668431502316	0.0017985611510791368	0.0008703220191470844	40.55	0.41	206	74.39	6.3	10.3	7.4	8.05	5.777777777777778	6.16	7.0	3.440937403675163	32.95	2.1	3.5076243509187908	356	55	2155	2243	35	482	687	13.8	0.07	1.4	206	205	204	508	507	506	136	284	0.4789	224	70	0.3125	48	24	0.5	1	0.07677	39	2	14	0.02756	2	16	0.0315	0.33
9	9	512	35	14.628571428571428	7.76	0.0093	36.13	0.025390625	47	0.30078125	0.022458801225025523	0.044921875	0.003610675039246468	0.015625	0.0013605442176870747	0.00390625	0.00041109969167523125	0.0	0.0	0.001953125	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001953125	4.462492748449284e-05	0.0	0.0	0.001953125	0.00016545334215751158	0.001953125	0.0008703220191470844	46.34	0.46	209	75.2	6.0	9.4	5.9	6.66	5.666666666666667	6.75	6.0	3.5864796380090493	28.79	1.7	2.6102515837104074	339	41	1890	1960	34	442	605	13.0	0.08	1.4	209	208	207	451	450	449	150	240	0.625	211	59	0.2796	33	24	0.7273	1	0.12417	56	2	17	0.03769	2	6	0.0133	0.18
10	9	561	26	21.576923076923077	5.01	0.0561	45.38	0.0374331550802139	37	0.2905525846702317	0.023771328569345194	0.024955436720142603	0.002197802197802198	0.0035650623885918	0.0003401360544217687	0.0053475935828877	0.0006166495375128469	0.0053475935828877	0.0006984866123399302	0.0017825311942959	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017825311942959	0.00510204081632653	0.0017825311942959	0.00016545334215751158	0.0017825311942959	0.0008703220191470844	40.46	0.4	210	75.64	7.9	10.4	9.0	6.62	7.857142857142858	6.34	8.0	4.422114541832669	31.3	2.0	3.1413901726427627	397	39	2067	2131	24	502	657	20.9	0.05	1.3	210	209	208	519	518	517	144	249	0.5783	270	66	0.2444	44	24	0.5455	1	0.10405	54	2	19	0.03661	2	30	0.0578	0.68
11	8	373	22	16.954545454545453	6.67	0.0187	36.13	0.0160857908847185	70	0.34048257372654156	0.0185212191920665	0.064343163538874	0.0037676609105180532	0.02680965147453083	0.0017006802721088435	0.0160857908847185	0.0012332990750256938	0.01876675603217158	0.001629802095459837	0.00804289544235925	0.0007313505607020966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002680965147453083	0.0005970149253731343	0.0	0.0	0.0	0.0	0.005361930294906166	0.00033090668431502316	0.0	0.0	61.21	0.61	202	64.3	8.1	11.1	10.1	10.84	10.5	8.45	11.0	4.872453262786596	24.08	2.8	5.2477435626102285	193	41	1588	1639	21	324	501	15.4	0.06	1.5	202	201	200	330	329	328	148	196	0.7551	134	54	0.403	47	31	0.6596	1	0.08485	28	2	9	0.02727	2	15	0.04545	0.32
12	8	433	25	17.32	6.25	0.0561	31.09	0.11547344110854503	41	0.23325635103926096	0.014729473530698556	0.025404157043879907	0.001726844583987441	0.004618937644341801	0.0003401360544217687	0.004618937644341801	0.00041109969167523125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023094688221709007	4.462492748449284e-05	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.39	156	71.85	7.3	11.7	8.3	8.35	10.666666666666666	6.54	7.0	4.041489795918366	26.34	2.3	4.8658057823129255	280	54	1752	1793	24	392	559	16.3	0.06	1.4	156	155	154	400	399	398	106	206	0.5146	194	50	0.2577	47	18	0.383	1	0.1125	45	3	13	0.0325	3	14	0.035	0.3
13	7	211	6	35.166666666666664	2.94	0.0374	21.01	0.12796208530805686	23	0.41232227488151657	0.01268776432842351	0.037914691943127965	0.0012558869701726845	0.004739336492890996	0.00017006802721088434	0.004739336492890996	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004739336492890996	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009478672985781991	8.924985496898568e-05	0.0	0.0	0.0	0.0	0.0	0.0	58.82	0.59	120	62.35	13.0	11.5	14.1	5.99	19.0	8.34	15.0	6.602607843137255	11.81	2.2	4.6856333333333335	164	13	797	804	6	204	257	34.0	0.03	1.3	120	119	118	204	203	202	79	106	0.7453	98	41	0.4184	14	10	0.7143	1	0.09314	19	2	10	0.04902	2	12	0.05882	0.86
14	6	332	25	13.28	8.14	0.0	30.25	0.15060240963855423	29	0.23795180722891565	0.01152107335569491	0.030120481927710843	0.0015698587127158557	0.009036144578313253	0.0005102040816326531	0.0	0.0	0.0	0.0	0.0030120481927710845	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030120481927710845	0.00041407867494824016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030120481927710845	0.0005494505494505495	0.0030120481927710845	0.0006056935190793458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009036144578313253	0.0001338747824534785	0.0	0.0	0.006024096385542169	0.00033090668431502316	0.006024096385542169	0.0017406440382941688	40.39	0.4	124	83.86	4.7	9.8	5.1	6.13	8.428571428571429	7.0	7.0	3.4550028501628662	19.26	1.6	2.8578709011943535	236	33	1286	1311	24	307	414	12.8	0.08	1.3	124	123	122	307	306	305	89	191	0.466	116	35	0.3017	31	14	0.4516	1	0.06515	20	2	13	0.04235	2	5	0.01629	0.16
15	6	197	13	15.153846153846153	7.34	0.0	22.69	0.05583756345177665	18	0.3604060913705584	0.010354382382966312	0.02030456852791878	0.0006279434850863422	0.01015228426395939	0.0003401360544217687	0.0	0.0	0.005076142131979695	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005076142131979695	0.00033534540576794097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015228426395939087	0.0004963600264725347	0.005076142131979695	0.0008703220191470844	52.54	0.53	93	72.16	7.2	10.6	8.4	8.58	8.285714285714286	6.94	8.0	3.974545454545454	11.99	2.2	4.072245454545454	125	19	794	816	11	176	248	16.0	0.06	1.4	93	92	91	177	176	175	67	102	0.6569	75	26	0.3467	30	16	0.5333	1	0.0565	10	1	8	0.0452	1	4	0.0226	0.13
16	12	605	35	17.285714285714285	6.55	0.028	44.54	0.03471074380165289	81	0.2628099173553719	0.023187983082980895	0.04132231404958678	0.003924646781789639	0.013223140495867768	0.0013605442176870747	0.0049586776859504135	0.0006166495375128469	0.003305785123966942	0.00046565774155995343	0.001652892561983471	0.00024378352023403217	0.001652892561983471	0.0002718129926610492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001652892561983471	4.462492748449284e-05	0.0	0.0	0.0049586776859504135	0.0004963600264725347	0.0	0.0	46.63	0.47	249	63.7	8.4	11.4	10.1	10.55	10.666666666666666	7.66	11.0	4.414318181818182	38.8	2.8	4.96173409090909	344	70	2563	2641	33	528	810	16.0	0.06	1.5	249	248	247	534	533	532	192	319	0.6019	215	57	0.2651	76	36	0.4737	1	0.07865	42	1	18	0.03371	1	21	0.03933	0.28
17	8	385	18	21.38888888888889	5.19	0.0561	26.05	0.03116883116883117	25	0.2935064935064935	0.016479509989791453	0.015584415584415584	0.0009419152276295133	0.007792207792207792	0.0005102040816326531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025974025974025974	0.0006056935190793458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025974025974025974	0.0008703220191470844	40.63	0.41	141	77.98	7.0	11.2	8.6	7.31	8.666666666666666	6.11	9.0	4.104957711442786	21.59	2.0	3.5302703150912116	259	36	1420	1470	18	335	448	18.6	0.05	1.3	141	140	139	347	346	345	82	150	0.5467	197	59	0.2995	19	17	0.8947	1	0.08069	28	2	13	0.03746	2	12	0.03458	0.63
18	8	418	15	27.866666666666667	4.02	0.0187	27.73	0.04066985645933014	25	0.3253588516746411	0.019833746536386174	0.014354066985645933	0.0009419152276295133	0.004784688995215311	0.0003401360544217687	0.0023923444976076554	0.00020554984583761563	0.0023923444976076554	0.00023282887077997672	0.0023923444976076554	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004784688995215311	0.00033090668431502316	0.0023923444976076554	0.0008703220191470844	45.31	0.45	169	72.09	9.3	11.5	11.3	7.49	15.5	6.62	7.0	4.86683169398907	23.45	2.2	4.0868931147540986	281	32	1545	1596	15	366	485	24.4	0.04	1.3	169	168	167	373	372	371	113	179	0.6313	194	56	0.2887	32	24	0.75	1	0.06971	26	2	20	0.05362	2	4	0.01072	0.12
19	4	72	7	10.285714285714286	10.61	0.0	9.24	0.4722222222222222	12	0.2361111111111111	0.002479218317048272	0.013888888888888888	0.00015698587127158556	0.0	0.0	0.027777777777777776	0.00041109969167523125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	8.924985496898568e-05	0.0	0.0	0.0	0.0	0.013888888888888888	0.0008703220191470844	78.79	0.79	52	87.31	3.4	8.0	4.5	6.52	4.428571428571429	12.0	7.0	3.732064935064935	4.36	0.8	1.80221471861472	51	5	291	297	7	66	86	9.4	0.11	1.3	52	51	50	66	65	64	38	45	0.8444	21	14	0.6667	5	5	1.0	1	0.12121	8	1	1	0.01515	1	1	0.01515	0.2
20	6	181	11	16.454545454545453	6.88	0.0	17.65	0.06629834254143646	23	0.35359116022099446	0.009333527781828789	0.0718232044198895	0.0020408163265306124	0.0055248618784530384	0.00017006802721088434	0.0	0.0	0.011049723756906077	0.00046565774155995343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0055248618784530384	0.00016545334215751158	0.0055248618784530384	0.0008703220191470844	59.38	0.59	95	73.98	6.5	10.2	7.2	7.71	5.666666666666667	7.78	8.0	4.106585081585081	10.47	2.2	3.7933153846153846	110	17	688	713	11	156	223	14.2	0.07	1.4	95	94	93	160	159	158	66	99	0.6667	61	29	0.4754	33	18	0.5455	1	0.05625	9	2	6	0.0375	2	1	0.00625	0.03
21	8	405	20	20.25	5.43	0.0467	31.93	0.03950617283950617	45	0.3333333333333333	0.0196879101647951	0.044444444444444446	0.00282574568288854	0.009876543209876543	0.0006802721088435374	0.0024691358024691358	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024691358024691358	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024691358024691358	4.462492748449284e-05	0.0	0.0	0.0	0.0	0.0	0.0	49.46	0.49	182	68.81	8.5	11.8	9.8	8.7	13.2	6.96	9.0	4.617022228596013	24.72	2.5	4.955253950953678	262	44	1644	1683	19	367	522	19.3	0.05	1.4	182	181	180	368	367	366	127	197	0.6447	171	55	0.3216	32	16	0.5	1	0.07609	28	1	10	0.02717	1	6	0.0163	0.19
22	3	59	2	29.5	3.57	0.0	10.92	0.01694915254237288	7	0.5084745762711864	0.004375091147732244	0.03389830508474576	0.0003139717425431711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01694915254237288	0.00016545334215751158	0.0	0.0	67.86	0.68	38	59.98	11.8	0.0	14.6	9.87	16.5	7.56	10.0	5.862	3.85	2.7	4.878207142857143	39	5	259	262	2	56	78	28.0	0.04	1.4	38	37	36	56	55	54	23	31	0.7419	25	15	0.6	10	8	0.8	1	0.125	7	1	3	0.05357	1	3	0.05357	0.3
23	10	593	30	19.766666666666666	5.66	0.0187	35.29	0.02866779089376054	62	0.26812816188870153	0.023187983082980895	0.02866779089376054	0.0026687598116169543	0.011804384485666104	0.0011904761904761906	0.0	0.0	0.0016863406408094434	0.00023282887077997672	0.003372681281618887	0.00048756704046806434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003372681281618887	0.00033090668431502316	0.0	0.0	41.7	0.42	221	70.13	8.0	10.2	8.9	7.89	12.2	7.14	8.0	4.395554437752333	34.64	2.1	3.8922126017605407	378	45	2286	2358	29	521	712	18.0	0.06	1.4	221	220	219	530	529	528	157	277	0.5668	253	64	0.253	80	41	0.5125	1	0.08302	44	1	24	0.04528	1	25	0.04717	0.31
