id	overall_score	Ideas	Organization	Style	Conventions	misc_total_words	misc_total_sentences	misc_words_div_sentences	misc_sent_density	misc_ttr	grammar_pct_transitions	grammar_pct_rel_trigrams	grammar_grammar_errors_ltp_by_words	vocab_difficult_words	vocab_proportion_vocab_list[a]	vocab_proportion_vocab_list[accent]	vocab_proportion_vocab_list[abandon]	vocab_proportion_vocab_list[abnormal]	vocab_proportion_vocab_list[abbey]	vocab_proportion_vocab_list[abduct]	vocab_proportion_vocab_list[abate]	vocab_proportion_vocab_list[aback]	vocab_proportion_vocab_list[abbot]	vocab_proportion_vocab_list[abet]	vocab_proportion_vocab_list[abrasion]	vocab_proportion_vocab_list[aberrant]	vocab_proportion_vocab_list[abattoir]	vocab_proportion_vocab_list[abashed]	vocab_proportion_vocab_list[abacus]	vocab_proportion_vocab_list[abalone]	vocab_proportion_vocab_list[abductee]	vocab_proportion_vocab_list[aardvark]	vocab_proportion_vocab_list[abnegate]	vocab_proportion_vocab_list[abaya]	vocab_proportion_vocab_list[abaft]	vocab_proportion_vocab_list[abomasum]	vocab_proportion_vocab_list[abettor]	vocab_proportion_vocab_list[acetal]	vocab_proportion_vocab_list[ablaut]	vocab_proportion_vocab_list[a1]	vocab_proportion_vocab_list[ah]	vocab_proportion_vocab_list[absentminded]	vocab_proportion_vocab_list[aal]	flow_ts_avg_len_sent	flow_ts_num_syllab	flow_ts_avg_sent_per_word	flow_ts_num_polysyllab	flow_ts_num_chars	flow_ts_avg_syllab_per_word	flow_ts_fre	flow_ts_fkg	flow_ts_cli	flow_ts_dcrs	flow_ts_lwf	flow_ts_gf	flow_ts_ari	coherence_nlemma_types	coherence_n_bigram_lemma_types	coherence_n_trigram_lemma_types	coherence_nlemmas	coherence_n_bigram_lemmas	coherence_n_trigram_lemmas	coherence_ncontent_types	coherence_ncontent_tokens	coherence_content_ttr	coherence_nfunction_tokens	coherence_nfunction_types	coherence_function_ttr	coherence_noun_ttr	coherence_determiners	coherence_conjunctions	coherence_prn_noun_ratio
17834	15	1	2	2	3	94	3	31.333333333333332	3.33	62.22	0.0187	10.08	0.2553191489361702	5	0.4787234042553192	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031914893617021274	0.0	0.010638297872340425	30.0	117	0.03	1	406	1.3	66.41	11.5	8.72	7.05	15.333333333333334	12.0	14.8	56	55	54	90	89	88	25	46	0.5435	44	31	0.7045	0.5556	0.05556	0.01111	0.56
17836	13	2	2	2	2	101	3	33.666666666666664	3.19	62.77	0.0093	9.24	0.10891089108910891	8	0.43564356435643564	0.0297029702970297	0.0	0.009900990099009901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.3	116	0.03	3	369	1.2	73.55	10.8	5.64	8.04	16.666666666666668	12.95	12.7	59	58	57	94	93	92	35	54	0.6481	40	24	0.6	0.8571	0.06383	0.05319	0.0
17837	15	2	2	2	2	166	1	166.0	0.64	59.24	0.028	14.29	0.15060240963855423	10	0.42168674698795183	0.024096385542168676	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006024096385542169	0.0	154.0	195	0.01	7	624	1.3	-59.46	59.8	6.99	14.15	57.0	62.38	74.6	93	92	91	157	156	155	60	91	0.6593	66	33	0.5	0.9167	0.08917	0.06369	0.0
17838	17	2	2	2	3	257	13	19.76923076923077	5.91	57.27	0.0374	27.73	0.05058365758754864	17	0.4046692607003891	0.019455252918287938	0.0	0.0	0.0	0.0	0.0	0.0	0.007782101167315175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.7	269	0.05	7	926	1.2	85.32	6.3	6.38	6.94	11.0	8.8	8.5	126	125	124	220	219	218	81	116	0.6983	104	45	0.4327	0.7692	0.09091	0.02273	0.31
17839	13	1	2	2	2	173	12	14.416666666666666	7.95	46.36	0.0467	16.81	0.03468208092485549	11	0.32947976878612717	0.011560693641618497	0.0	0.0	0.011560693641618497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005780346820809248	0.0	12.6	195	0.08	7	667	1.3	84.07	4.7	6.6	5.73	4.4	5.83	5.7	70	69	68	151	150	149	39	77	0.5065	74	31	0.4189	0.5455	0.05298	0.00662	0.36
17840	23	3	3	3	3	426	33	12.909090909090908	9.62	48.98	0.0748	13.45	0.04460093896713615	29	0.3028169014084507	0.014084507042253521	0.002347417840375587	0.002347417840375587	0.002347417840375587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002347417840375587	0.0	14.0	438	0.07	12	1622	1.3	82.65	5.2	8.63	6.77	5.625	6.08	8.3	168	167	166	343	342	341	119	222	0.536	121	49	0.405	0.2459	0.06414	0.04956	0.56
17841	16	2	2	2	2	185	11	16.818181818181817	6.47	49.41	0.0187	14.29	0.03783783783783784	11	0.35135135135135137	0.02702702702702703	0.005405405405405406	0.010810810810810811	0.010810810810810811	0.005405405405405406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.9	202	0.05	2	645	1.2	86.13	5.9	4.24	6.52	10.2	8.03	5.9	84	83	82	170	169	168	48	87	0.5517	83	36	0.4337	0.7	0.06471	0.04706	1.3
17842	18	2	2	2	3	142	7	20.285714285714285	5.56	60.32	0.0187	12.61	0.04225352112676056	13	0.43661971830985913	0.014084507042253521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	168	0.06	6	549	1.3	78.59	6.8	6.96	7.16	11.2	7.52	8.1	76	75	74	126	125	124	45	68	0.6618	58	31	0.5345	0.5217	0.10317	0.02381	0.35
17843	12	2	2	2	2	369	6	61.5	1.68	36.31	0.028	25.21	0.13821138211382114	12	0.2926829268292683	0.005420054200542005	0.005420054200542005	0.0027100271002710027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005420054200542005	0.0027100271002710027	59.7	445	0.02	8	1391	1.2	44.72	21.9	5.71	7.7	51.0	23.99	26.7	130	129	128	358	357	356	82	200	0.41	158	48	0.3038	0.6875	0.06425	0.03911	0.56
17844	10	1	1	2	2	100	9	11.11111111111111	10.23	59.09	0.0093	12.61	0.05	9	0.38	0.03	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	11.0	115	0.09	5	347	1.3	85.69	4.0	3.63	6.69	5.125	5.76	2.6	52	51	50	88	87	86	29	50	0.58	38	23	0.6053	0.6667	0.06818	0.03409	0.17
17845	16	2	2	2	2	190	9	21.11111111111111	5.08	48.59	0.0374	14.29	0.06842105263157895	10	0.3684210526315789	0.005263157894736842	0.005263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6	208	0.05	5	671	1.2	85.42	6.2	4.41	6.13	10.6	8.29	6.3	86	85	84	177	176	175	53	93	0.5699	84	33	0.3929	0.5556	0.05085	0.0452	0.44
17846	19	2	2	3	3	138	9	15.333333333333334	7.5	69.17	0.0093	8.4	0.08695652173913043	14	0.4420289855072464	0.014492753623188406	0.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5	144	0.07	3	499	1.2	90.6	4.2	6.02	7.89	6.428571428571429	6.14	6.1	83	82	81	120	119	118	58	74	0.7838	46	25	0.5435	0.9412	0.08333	0.025	0.06
17847	17	2	2	2	3	208	11	18.90909090909091	5.88	55.08	0.028	19.33	0.08653846153846154	17	0.3798076923076923	0.014423076923076924	0.009615384615384616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004807692307692308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004807692307692308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004807692307692308	0.0	18.7	223	0.05	3	737	1.2	86.33	5.9	4.93	6.84	7.666666666666666	7.91	6.5	103	102	101	187	186	185	63	96	0.6562	91	40	0.4396	0.6	0.1123	0.04278	0.15
17849	14	2	2	2	2	182	10	18.2	6.06	53.94	0.0187	15.13	0.054945054945054944	9	0.34065934065934067	0.04395604395604396	0.005494505494505495	0.016483516483516484	0.0	0.0	0.0	0.0	0.0	0.0	0.005494505494505495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	182	0.06	2	624	1.1	97.03	3.8	3.77	6.56	6.285714285714286	7.08	4.6	89	88	87	165	164	163	55	84	0.6548	81	34	0.4198	0.7857	0.11515	0.05455	0.14
17850	12	2	2	1	2	182	4	45.5	2.41	58.43	0.0467	14.29	0.06043956043956044	12	0.4010989010989011	0.02197802197802198	0.01098901098901099	0.0	0.005494505494505495	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005494505494505495	0.0	55.0	205	0.02	7	684	1.2	49.49	20.0	7.1	9.24	18.333333333333332	22.48	25.6	97	96	95	166	165	164	62	88	0.7045	78	35	0.4487	0.6842	0.10241	0.09639	0.32
17851	16	2	2	2	2	198	13	15.23076923076923	7.74	55.36	0.0187	10.92	0.10101010101010101	12	0.3282828282828283	0.020202020202020204	0.0	0.005050505050505051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005050505050505051	0.0	0.0	0.005050505050505051	18.6	206	0.05	2	671	1.2	86.44	5.8	4.93	7.58	10.2	7.92	6.8	93	92	91	168	167	166	59	100	0.59	68	34	0.5	0.64	0.07738	0.06548	0.16
17852	17	2	3	2	2	264	17	15.529411764705882	7.52	50.88	0.028	17.65	0.07575757575757576	26	0.3068181818181818	0.03409090909090909	0.011363636363636364	0.003787878787878788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.1	288	0.04	8	942	1.3	71.38	9.5	6.22	7.54	10.2	11.28	10.8	115	114	113	226	225	224	78	114	0.6842	112	37	0.3304	0.4286	0.09735	0.06195	0.71
17853	16	2	2	2	2	104	8	13.0	8.6	72.04	0.0093	11.76	0.15384615384615385	18	0.3557692307692308	0.04807692307692308	0.019230769230769232	0.009615384615384616	0.009615384615384616	0.0	0.009615384615384616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1	124	0.08	5	432	1.3	83.56	4.9	8.4	9.61	6.285714285714286	6.54	7.3	67	66	65	93	92	91	47	62	0.7581	31	20	0.6452	0.8	0.10753	0.03226	0.2
17854	21	3	3	2	3	204	12	17.0	6.59	54.95	0.0374	10.08	0.058823529411764705	19	0.3872549019607843	0.014705882352941176	0.0	0.004901960784313725	0.0	0.0	0.004901960784313725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004901960784313725	0.0	0.0	0.0	0.004901960784313725	0.004901960784313725	0.0	18.2	226	0.05	5	706	1.2	86.84	5.7	4.53	7.06	7.333333333333334	7.72	5.9	100	99	98	182	181	180	65	107	0.6075	75	35	0.4667	0.5625	0.03297	0.05495	1.0
17856	14	1	2	2	3	154	12	12.833333333333334	8.63	49.64	0.0	15.97	0.03896103896103896	13	0.35714285714285715	0.01948051948051948	0.0	0.0	0.006493506493506494	0.0	0.0	0.006493506493506494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6	171	0.09	5	509	1.2	93.54	3.1	2.13	5.92	4.888888888888889	5.5	1.6	69	68	67	139	138	137	41	70	0.5857	69	28	0.4058	1.0	0.1295	0.00719	2.67
17857	18	2	2	2	3	168	9	18.666666666666668	5.81	52.26	0.0374	13.45	0.041666666666666664	16	0.3392857142857143	0.02976190476190476	0.005952380952380952	0.005952380952380952	0.005952380952380952	0.0	0.0	0.0	0.005952380952380952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005952380952380952	0.0	19.1	191	0.05	7	612	1.2	85.93	6.0	5.46	7.16	11.2	8.42	7.0	81	80	79	155	154	153	48	82	0.5854	73	33	0.4521	0.625	0.09032	0.03226	0.25
17858	24	3	3	3	3	213	16	13.3125	8.16	49.49	0.0654	19.33	0.03286384976525822	13	0.37089201877934275	0.03286384976525822	0.004694835680751174	0.009389671361502348	0.0	0.0	0.0	0.0	0.0	0.004694835680751174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	237	0.08	8	777	1.2	92.83	3.4	4.34	5.7	5.75	5.74	3.3	97	96	95	196	195	194	56	106	0.5283	90	41	0.4556	0.375	0.10204	0.03061	0.62
