id	overall_score	misc_total_words	misc_total_sentences	misc_words_div_sentences	misc_sent_density	misc_ttr	grammar_pct_transitions	grammar_pct_rel_trigrams	grammar_grammar_errors_ltp_by_words	vocab_difficult_words	vocab_proportion_vocab_list[a]	vocab_proportion_vocab_list[accent]	vocab_proportion_vocab_list[abandon]	vocab_proportion_vocab_list[abnormal]	vocab_proportion_vocab_list[abbey]	vocab_proportion_vocab_list[abduct]	vocab_proportion_vocab_list[abate]	vocab_proportion_vocab_list[aback]	vocab_proportion_vocab_list[abbot]	vocab_proportion_vocab_list[abet]	vocab_proportion_vocab_list[abrasion]	vocab_proportion_vocab_list[aberrant]	vocab_proportion_vocab_list[abattoir]	vocab_proportion_vocab_list[abashed]	vocab_proportion_vocab_list[abacus]	vocab_proportion_vocab_list[abalone]	vocab_proportion_vocab_list[abductee]	vocab_proportion_vocab_list[aardvark]	vocab_proportion_vocab_list[abnegate]	vocab_proportion_vocab_list[abaya]	vocab_proportion_vocab_list[abaft]	vocab_proportion_vocab_list[abomasum]	vocab_proportion_vocab_list[abettor]	vocab_proportion_vocab_list[acetal]	vocab_proportion_vocab_list[ablaut]	vocab_proportion_vocab_list[a1]	vocab_proportion_vocab_list[ah]	vocab_proportion_vocab_list[absentminded]	vocab_proportion_vocab_list[aal]	flow_ts_avg_len_sent	flow_ts_num_syllab	flow_ts_avg_sent_per_word	flow_ts_num_polysyllab	flow_ts_num_chars	flow_ts_avg_syllab_per_word	flow_ts_fre	flow_ts_fkg	flow_ts_cli	flow_ts_dcrs	flow_ts_lwf	flow_ts_gf	flow_ts_ari	coherence_nlemma_types	coherence_n_bigram_lemma_types	coherence_n_trigram_lemma_types	coherence_nlemmas	coherence_n_bigram_lemmas	coherence_n_trigram_lemmas	coherence_ncontent_types	coherence_ncontent_tokens	coherence_content_ttr	coherence_nfunction_tokens	coherence_nfunction_types	coherence_function_ttr	coherence_noun_ttr	coherence_determiners	coherence_conjunctions	coherence_prn_noun_ratio
20716	34	835	39	21.41025641025641	5.51	34.32	0.0467	30.25	0.0718562874251497	31	0.2311377245508982	0.009580838323353293	0.0011976047904191617	0.003592814371257485	0.0	0.0	0.0	0.0011976047904191617	0.0011976047904191617	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	0.0023952095808383233	0.0011976047904191617	0.0	23.7	806	0.04	19	2741	1.2	81.26	7.8	5.69	6.24	10.2	9.9	9.9	243	242	241	708	707	706	173	408	0.424	300	70	0.2333	0.3148	0.06356	0.0339	0.94
20717	46	863	30	28.766666666666666	3.82	38.22	0.0935	45.38	0.019698725376593278	60	0.2862108922363847	0.023174971031286212	0.005793742757821553	0.008111239860950173	0.0011587485515643105	0.0034762456546929316	0.002317497103128621	0.0	0.0	0.0011587485515643105	0.0	0.0	0.0011587485515643105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011587485515643105	0.0	26.0	954	0.04	31	3180	1.2	78.93	8.7	6.04	6.73	13.5	11.37	10.8	300	299	298	785	784	783	227	430	0.5279	355	73	0.2056	0.6071	0.08535	0.03439	0.27
20718	40	969	39	24.846153846153847	4.53	36.12	0.0935	51.26	0.0196078431372549	60	0.24974200206398348	0.025799793601651185	0.006191950464396285	0.010319917440660475	0.006191950464396285	0.0010319917440660474	0.0	0.0020639834881320948	0.0020639834881320948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020639834881320948	0.0010319917440660474	21.7	1085	0.05	34	3547	1.3	74.83	8.2	6.15	6.5	6.857142857142857	9.62	9.1	311	310	309	861	860	859	232	472	0.4915	389	79	0.2031	0.5789	0.10105	0.036	0.47
20719	30	763	30	25.433333333333334	4.21	34.5	0.0561	34.45	0.0799475753604194	26	0.2778505897771953	0.015727391874180863	0.001310615989515072	0.002621231979030144	0.0	0.005242463958060288	0.0	0.0	0.0	0.001310615989515072	0.001310615989515072	0.0	0.0	0.0	0.001310615989515072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002621231979030144	0.001310615989515072	0.001310615989515072	54.2	830	0.02	14	2690	1.2	50.3	19.7	5.24	7.67	13.25	21.96	23.7	246	245	244	713	712	711	172	327	0.526	386	74	0.1917	0.4865	0.1136	0.00982	0.54
20721	26	708	26	27.23076923076923	4.02	30.5	0.0467	22.69	0.1652542372881356	24	0.21045197740112995	0.0014124293785310734	0.002824858757062147	0.0	0.00423728813559322	0.0014124293785310734	0.0	0.002824858757062147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00423728813559322	0.00847457627118644	0.0	0.002824858757062147	32.3	712	0.03	1	2299	1.1	80.99	10.0	3.38	6.9	7.333333333333334	12.98	11.5	197	196	195	646	645	644	146	310	0.471	336	51	0.1518	0.2909	0.05573	0.04334	0.53
20722	40	1043	72	14.48611111111111	9.94	33.98	0.028	29.41	0.007670182166826462	64	0.16395014381591563	0.016299137104506232	0.003835091083413231	0.0019175455417066154	0.0028763183125599234	0.0028763183125599234	0.0019175455417066154	0.0	0.0	0.0	0.0009587727708533077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028763183125599234	0.0009587727708533077	25.7	954	0.04	12	3346	1.4	62.31	11.0	8.07	7.03	13.75	10.63	14.1	246	245	244	724	723	722	183	482	0.3797	242	63	0.2603	0.19	0.07459	0.00829	0.08
20723	40	1056	82	12.878048780487806	9.7	40.83	0.0748	38.66	0.01231060606060606	84	0.22443181818181818	0.032196969696969696	0.003787878787878788	0.006628787878787879	0.004734848484848485	0.002840909090909091	0.001893939393939394	0.000946969696969697	0.000946969696969697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000946969696969697	0.0	0.003787878787878788	0.002840909090909091	15.5	1060	0.06	26	3605	1.3	81.12	5.8	6.15	6.83	7.142857142857142	6.98	7.0	345	344	343	845	844	843	271	479	0.5658	366	74	0.2022	0.4095	0.07929	0.03669	0.28
20724	34	315	17	18.529411764705884	5.78	41.16	0.0374	24.37	0.06031746031746032	9	0.32063492063492066	0.012698412698412698	0.009523809523809525	0.0	0.0031746031746031746	0.0	0.0	0.0	0.0031746031746031746	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006349206349206349	0.0	0.0	18.2	354	0.05	14	1153	1.2	86.84	5.7	5.22	5.62	19.0	7.97	6.3	121	120	119	294	293	292	75	138	0.5435	156	46	0.2949	0.8333	0.07823	0.05102	0.42
20725	41	855	48	17.8125	6.27	40.34	0.0748	50.42	0.005847953216374269	68	0.2549707602339181	0.031578947368421054	0.017543859649122806	0.012865497076023392	0.005847953216374269	0.0	0.0011695906432748538	0.0035087719298245615	0.0	0.0023391812865497076	0.0	0.0011695906432748538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011695906432748538	16.3	978	0.06	47	3271	1.3	80.31	6.1	7.31	6.64	7.428571428571429	7.94	7.7	309	308	307	766	765	764	229	393	0.5827	373	80	0.2145	0.5455	0.08486	0.03786	0.66
20726	40	668	40	16.7	7.23	44.67	0.0561	32.77	0.017964071856287425	49	0.2934131736526946	0.02245508982035928	0.004491017964071856	0.004491017964071856	0.004491017964071856	0.0014970059880239522	0.0014970059880239522	0.0	0.0014970059880239522	0.0014970059880239522	0.0	0.0	0.0	0.0	0.0	0.0014970059880239522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014970059880239522	0.0014970059880239522	16.8	723	0.06	20	2471	1.3	79.8	6.3	7.71	6.83	7.5	7.47	8.7	247	246	245	553	552	551	175	321	0.5452	232	72	0.3103	0.3297	0.07233	0.02712	0.02
