id	overall_score	ideas_score	flow_score	coherence_score	vocab_score	grammar_score	total_words	total_sentences	words_div_sentences	sent_density	nlemma_types	n_bigram_lemma_types	n_trigram_lemma_types	nlemmas	n_bigram_lemmas	n_trigram_lemmas	ncontent_types	ncontent_tokens	content_ttr	nfunction_tokens	nfunction_types	function_ttr	nouns_total	nouns_unique	ttr_nouns	determiners_unique	determiners_per_words	determiners_total	conjunctions_unique	conjunctions_total	conjunctions_per_words	pronouns_unique	pronouns_total	pronouns_density	pronouns_noun_ratio
300436199	4	4	5	4	4	4	357	11	32.45454545454545	3.34	169	168	167	329	328	327	130	197	0.6599	132	39	0.2955	28	15	0.5357	1	0.09726	32	3	6	0.01824	3	6	0.01824	0.21
300443203	4	3	4	4	4	4	231	17	13.588235294117647	8.17	127	126	125	208	207	206	87	128	0.6797	80	40	0.5	25	18	0.72	1	0.0625	13	1	3	0.01442	1	8	0.03846	0.32
300400010	4	3	5	4	4	4	349	14	24.928571428571427	4.31	118	117	116	325	324	323	75	173	0.4335	152	43	0.2829	38	13	0.3421	1	0.09846	32	1	8	0.02462	1	10	0.03077	0.26
300451442	5	5	5	5	5	5	402	16	25.125	4.31	130	129	128	371	370	369	87	205	0.4244	166	43	0.259	44	12	0.2727	1	0.09973	37	1	5	0.01348	1	7	0.01887	0.16
300462744	4	5	5	5	4	4	538	15	35.86666666666667	3.01	155	154	153	498	497	496	107	265	0.4038	233	48	0.206	59	17	0.2881	1	0.10643	53	2	9	0.01807	2	15	0.03012	0.25
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69	101	100	99	334	333	332	62	175	0.3543	159	39	0.2453	39	7	0.1795	1	0.06287	21	2	6	0.01796	2	1	0.00299	0.03
300467528	5	5	5	4	5	4	442	22	20.09090909090909	5.34	169	168	167	412	411	410	125	240	0.5208	172	44	0.2558	36	13	0.3611	1	0.1165	48	1	10	0.02427	1	22	0.0534	0.61
300470595	4	4	4	4	4	4	444	20	22.2	4.77	136	135	134	419	418	417	88	235	0.3745	184	48	0.2609	42	8	0.1905	1	0.06921	29	2	6	0.01432	2	18	0.04296	0.43
300475607	4	4	4	4	4	3	374	18	20.77777777777778	5.26	141	140	139	342	341	340	92	176	0.5227	166	49	0.2952	36	13	0.3611	1	0.09649	33	3	6	0.01754	3	19	0.05556	0.53
300476894	4	4	4	5	4	4	396	15	26.4	4.09	147	146	145	367	366	365	98	209	0.4689	158	49	0.3101	61	17	0.2787	1	0.09264	34	4	9	0.02452	4	11	0.02997	0.18
300400011	5	5	5	5	5	4	357	17	21.0	5.18	166	165	164	328	327	326	122	204	0.598	124	44	0.3548	46	22	0.4783	1	0.05793	19	2	7	0.02134	2	9	0.02744	0.2
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89	123	122	121	334	333	332	77	175	0.44	159	46	0.2893	42	11	0.2619	1	0.0988	33	2	7	0.02096	2	15	0.04491	0.36
300465369	3	3	4	4	3	3	299	11	27.181818181818183	3.93	108	107	106	280	279	278	74	174	0.4253	106	34	0.3208	33	6	0.1818	1	0.05357	15	1	6	0.02143	1	3	0.01071	0.09
300478717	3	4	3	4	3	3	358	14	25.571428571428573	4.29	151	150	149	326	325	324	110	209	0.5263	117	41	0.3504	33	19	0.5758	1	0.04908	16	2	15	0.04601	2	13	0.03988	0.39
300481896	5	5	4	5	5	4	432	18	24.0	4.56	171	170	169	395	394	393	120	223	0.5381	172	51	0.2965	42	17	0.4048	1	0.09114	36	1	8	0.02025	1	29	0.07342	0.69
300482646	3	4	4	3	3	4	625	19	32.89473684210526	3.23	217	216	215	589	588	587	160	351	0.4558	238	57	0.2395	64	21	0.3281	1	0.07131	42	2	18	0.03056	2	33	0.05603	0.52
300491415	3	3	4	4	4	3	349	12	29.083333333333332	3.76	164	163	162	319	318	317	115	174	0.6609	145	49	0.3379	39	15	0.3846	1	0.0721	23	3	11	0.03448	3	23	0.0721	0.59
