id	overall_score	ideas_score	flow_score	coherence_score	vocab_score	grammar_score	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
300436199	4	4	5	4	4	4	357	11	32.45454545454545	3.34	41.53	14.8	15.2	17.6	12.54	15.5	8.9	15.0	6.770485970819305	24.55	3.7	8.400664197530864	196	49	1634	1671	11	324	519	29.5	0.03	1.6
300443203	4	3	4	4	4	4	231	17	13.588235294117647	8.17	41.56	10.6	12.5	12.2	14.6	6.625	9.07	11.0	4.8289068627450975	17.35	3.6	8.706064705882353	111	43	1153	1181	16	204	359	12.8	0.08	1.8
300400010	4	3	5	4	4	4	349	14	24.928571428571427	4.31	48.13	12.3	13.8	14.3	12.31	10.833333333333334	6.74	12.0	5.096906832298137	24.34	3.6	7.4696683229813665	192	49	1627	1657	14	322	522	23.0	0.04	1.6
300451442	5	5	5	5	5	5	402	16	25.125	4.31	48.43	12.1	13.7	13.8	11.78	16.25	6.85	12.0	5.009287362258952	27.1	3.4	7.012895454545454	216	55	1801	1845	16	363	573	22.7	0.04	1.6
300462744	4	5	5	5	4	4	538	15	35.86666666666667	3.01	46.54	14.9	15.0	18.1	11.15	15.0	7.0	15.0	6.223301419878297	35.52	3.3	7.850063258958755	334	65	2368	2418	15	493	734	32.9	0.03	1.5
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69	43.5	16.1	14.9	19.2	10.34	10.666666666666666	6.64	11.0	6.458466460268317	22.81	3.2	7.614507671138631	217	38	1505	1553	9	323	472	35.9	0.03	1.5
300467528	5	5	5	4	5	4	442	22	20.09090909090909	5.34	61.36	9.2	11.8	10.8	10.44	12.0	7.21	12.0	4.5955609068351	28.94	2.8	5.535368238213399	270	51	1928	1970	22	403	599	18.3	0.05	1.5
300470595	4	4	4	4	4	4	444	20	22.2	4.77	66.37	9.4	11.3	11.6	9.57	8.833333333333334	6.13	10.0	4.528592073403848	28.6	2.6	4.606784987893462	287	39	1913	1947	19	413	587	21.7	0.05	1.4
300475607	4	4	4	4	4	3	374	18	20.77777777777778	5.26	68.2	8.7	11.4	10.3	8.88	10.166666666666666	6.95	9.0	4.640086413326392	23.02	2.6	4.743412493492972	238	36	1529	1567	17	339	486	19.9	0.05	1.4
300476894	4	4	4	5	4	4	396	15	26.4	4.09	46.81	12.8	14.1	15.0	12.42	13.6	7.23	13.0	5.394665934065934	27.62	3.4	7.0240350183150175	231	55	1846	1880	15	364	572	24.3	0.04	1.6
300400011	5	5	5	5	5	4	357	17	21.0	5.18	43.83	11.8	13.7	14.1	14.04	13.6	8.07	14.0	5.1892622319956025	26.06	3.6	7.954683928898662	183	58	1733	1774	17	321	530	18.9	0.05	1.7
