id	overall_score	ideas_score	flow_score	coherence_score	vocab_score	grammar_score	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words
300436199	4	4	5	4	4	4	357	11	32.45454545454545	3.34	0.0467	32.77	0.03081232492997199
300443203	4	3	4	4	4	4	231	17	13.588235294117647	8.17	0.0093	31.93	0.03463203463203463
300400010	4	3	5	4	4	4	349	14	24.928571428571427	4.31	0.0374	39.5	0.017191977077363897
300451442	5	5	5	5	5	5	402	16	25.125	4.31	0.0374	35.29	0.022388059701492536
300462744	4	5	5	5	4	4	538	15	35.86666666666667	3.01	0.0561	38.66	0.024163568773234202
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69	0.0374	29.41	0.04904632152588556
300467528	5	5	5	4	5	4	442	22	20.09090909090909	5.34	0.0374	42.02	0.04751131221719457
300470595	4	4	4	4	4	4	444	20	22.2	4.77	0.028	36.97	0.02702702702702703
300475607	4	4	4	4	4	3	374	18	20.77777777777778	5.26	0.0467	36.13	0.0213903743315508
300476894	4	4	4	5	4	4	396	15	26.4	4.09	0.0654	43.7	0.025252525252525252
300400011	5	5	5	5	5	4	357	17	21.0	5.18	0.028	35.29	0.0392156862745098
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89	0.0374	37.82	0.03361344537815126
300465369	3	3	4	4	3	3	299	11	27.181818181818183	3.93	0.0654	28.57	0.033444816053511704
300478717	3	4	3	4	3	3	358	14	25.571428571428573	4.29	0.0654	27.73	0.0446927374301676
300481896	5	5	4	5	5	4	432	18	24.0	4.56	0.0561	43.7	0.032407407407407406
300482646	3	4	4	3	3	4	625	19	32.89473684210526	3.23	0.0654	49.58	0.0464
300491415	3	3	4	4	4	3	349	12	29.083333333333332	3.76	0.0561	36.13	0.05730659025787966
300414886	3	3	3	4	3	3	292	11	26.545454545454547	4.12	0.0374	24.37	0.0821917808219178
300433944	4	5	4	5	4	4	935	19	49.21052631578947	2.18	0.0935	47.06	0.03529411764705882
300448682	5	5	4	5	5	5	1541	61	25.262295081967213	4.25	0.0748	67.23	0.03309539260220636
300468100	5	5	5	5	5	5	480	22	21.818181818181817	5.05	0.0935	46.22	0.029166666666666667
300469408	5	5	5	5	4	5	817	33	24.757575757575758	4.37	0.1215	47.9	0.025703794369645042
300474288	4	4	4	4	3	4	348	3	116.0	0.87	0.0561	29.41	0.09482758620689655
300476203	4	4	4	4	3	4	369	18	20.5	5.49	0.0467	29.41	0.02981029810298103
300478184	4	4	4	4	3	4	363	14	25.928571428571427	4.08	0.0374	40.34	0.0440771349862259
300478187	4	4	4	4	4	4	457	21	21.761904761904763	4.98	0.0561	39.5	0.02188183807439825
300484033	4	4	4	4	4	4	276	7	39.42857142857143	2.65	0.0374	32.77	0.05434782608695652
300484044	4	4	4	5	4	4	486	14	34.714285714285715	3.02	0.0374	37.82	0.037037037037037035
300485556	5	4	4	5	4	5	597	31	19.258064516129032	5.66	0.0841	44.54	0.01340033500837521
300489269	5	5	5	4	5	4	559	24	23.291666666666668	4.56	0.028	36.13	0.059033989266547404
300490889	4	4	4	4	4	4	497	12	41.416666666666664	2.57	0.0561	37.82	0.03621730382293763
300479205	4	5	5	4	4	4	804	41	19.609756097560975	5.67	0.0467	50.42	0.028606965174129355
300484040	4	3	4	4	4	4	451	19	23.736842105263158	4.48	0.0654	45.38	0.04434589800443459
300484277	3	4	3	3	3	4	436	22	19.818181818181817	5.26	0.0187	38.66	0.04357798165137615
300485722	3	4	3	3	4	3	470	20	23.5	4.43	0.0467	32.77	0.05531914893617021
300469240	3	3	4	3	3	3	236	11	21.454545454545453	4.98	0.0561	26.05	0.0423728813559322
300471151	5	5	5	4	5	5	414	19	21.789473684210527	5.0	0.0561	36.13	0.01932367149758454
300478180	4	4	4	4	4	4	315	17	18.529411764705884	6.03	0.0187	32.77	0.022222222222222223
300476975	4	4	4	4	3	3	229	13	17.615384615384617	6.13	0.028	22.69	0.039301310043668124
