id	essay	ideas	flow	coherence	vocab	grammar	overall_score
300436199	In nowadays, people pay more and more attention on health, as the life condition rises. Parents become nutrist almost, they could share articles about health in their social median frequently post op one important topic is about smoking that is harmful to the smokers and othe people around them. But some argue that smoking can be accepted. However, in my view, the source of smoking is cigarette, which should be restricted by paying large amounts of money as a smoking tax.The 1st and most important reason why should levy taxes is that it can reduce the number of cigarettes consumed by smokers. If the manufactures of cigarettes are required to pay more money, they would rise the price of cigarettes. Result, smokers only can buy list cigarettes with the same budget on smoking. Consequently, smokers consumed less cigarettes will face a smaller potential risk of developing cancer, especially the lung cancer.Another reason why government shout livy a higher tax on cigarettes manufactures is that gaining more money to invest on health care industry. There is a common knowledge that smoking is one of the key causes leading to lung cancer. Therefore, people and government spend a huge amount of money to treat lung cancer, but there are still millions of patients died every year. As a result, government need more money to support the promotion of the awareness the disadvantage of smoking, to build a more advanced health care system, especial for these undeveloped countries, such as in China that contributes approximately one third of the lung cancer population, While the overall chiness population is only 20% of the whole world's population.In contrast, some argue that there are many disadvantage of a higher tax on cigarette manufactures, like increasing the economic pressure to the smokers whose desire of smoking is very strong, reduction of the original cigarette price causing to the lower income for cigarettes farmers.In conclusion. It is necessary to pay more money.	4	5	4	4	4	4
300443203	The smoking causes are cancer which is so serious disease. The smoking cigarette has gained significant popularity in recent years. According to the same scientists, it is enormous impact on health problems, there is no doubt that. The smoking may reduce stress. However, it affects health issue and impacts on smoker’s budget. For those reasons, it is my opinion that companies should pay large amounts of money as compensation to people.One of the most significant reason is that the smoking cigarette creates health problems. People who has to be healthy for achieving their own goal. It is required to be great level of motivation. If smokers consume more cigarette, they can lose their learning capability to improve themselves.Another important reason is that smoking cigarette affects smokers income negatively. The cigarette is very expensive. Smokers can purchase beneficial materials which are books, home furniture or clothes instead of cigarette. Smokers have to identify this issue and avoid from cigarette. Some companies which manufacture cigarettes are not reliable. Their advertising and marketing strategies provides lack of information to impacts on smokers opinion efficiently. After that, smokers tend to consume more cigarette.conclusion, cigarette has many unbenefits. government should regulate this process. Manufacture companies should obey implement policy.	3	4	4	4	4	4
300400010	Nowadays, the number of people who develop cancer smoking increase significantly. Smoking is very dangerous and harmful for people and children. I believed that companies which manufacture cigarettes should pay a lot of money as compensation to people who develop cancer from smoking. In my opinion, that is a good idea and the following argument will explain this view.first of all, smoking is a bad habit of almost men and some woman has the same situation. The consequence of smoking is the increase of people who are cancer. There are some companies which manufacture cigarettes pay large amounts of money to people who develop cancer from smoking will have more opportunities to prevent the cancer. For example, in Vietnam, a lot of men are cancer from smoking and they do not have money to prevent the cancer. Therefore, there are some companies inside and outside Vietnam support the financial for them to help people who are cancer may be better. In addition, these companies want to demonstrate the impacts of smoking.Moreover, the action of these companies will help people who develop cancer from smoking have more motivations to live continually, because they have supporting such as money from the companies which manufacture cigarettes. In other words, the cancer is frequently developing and it will become more dangerous day by day. Some people are cancer from smoking just wait for die because they do not have strong financial to prevent the developing of cancer. The supporting of these companies may help people who are cancer maintain their life.In conclusion, smoking is a bad habit and people should prevent doing it. The action of the companies is not only help people who are cancer from smoking have more opportunities come over the difficult situation, it also give them the motivation to maintain their life. Therefore, companies which manufacture cigarettes should pay large amount of money as compensation to people who develop cancer from smoking.	3	5	4	4	4	4
300451442	Recently, there are some studies which smoking increases that percentage of people who develop cancer. Because of this fact there is an idea that companies which produce cigarettes should pay a lot of money as compensation don't stop this is a is agree that idea and it shows two reasons. One is that this system can reduce the number of cigarettes companies and second reason is this system also can reduce the number of smoker.First, this paying system is good for reducing companies which manufacture cigarettes. If companies have to pay large amount of money, it is big damage for companies and their profit will become small. This is why, their positive effects which is produced from making cigarettes will reduce and the number of companies also will decrease year by year. In addition, if the companies related to cigarettes decrease, this system of paying money leads to the other companies which produce something causes the bad influence for people's health. Reducing these company, is good effects for people.Secondly, this system can decline the number of people who use cigarettes. Its companies which manufacture cigarettes must pay large amounts of money as compensation, the price of cigarettes will be expensive because the companies have to get more profit. That change makes harder to buy for people. In addition, smoking increase the rate of cancer for people. This is why, if the number of smoker decrease, the number of people who will face cancer problem also decrease.On the other hand, there is an opinion that companies should not pay money because they don't force people to use cigarettes. So, people who use cigarettes should pay more money. Of course, smoker should pay money more. However, if the number of companies which advertise smoking decline, that influence the increase of non-smokers because people will get opportunity for smoking less than before.In conclusion, this is a argues about two advantages of the system which companies related to smoking should pay more money as compensation to people who develop cancer from smoking. If the system stops, it can reduce the number of companies related to smoking and smokers. This is why, it is agree the paying system.	5	5	5	5	5	5
300462744	It is quite common these days for people in many parts of the world to smoke. Smoking is harmful for our health, environment and society. If these companies of manufacturing cigarettes could pay huge amounts of money, it would reduce the number of cigarettes and increase the price of cigarettes. Therefore, from my perspective, although someone might think this is a bad idea, I still believe that the method can play a key role to reduce the amounts of smoker, so reduce and help the people who has cancer from smoking.There are strong grounds for believing that through the method that increasing the amounts of money which cigarettes companies should pay for can be a good idea. In the 1st place, if these companies pay for large amounts of money as compensation to people who develop cancer from smoking, it would lead to huge losses so that these companies do not have enough money to produce more and more cigarettes, which could reduce the number of cigarettes, because which might reduce the number of smokers. Therefore reducing the rate of developing cancer from smoking. I think this is a good cycle to reduce the negative effects of smoking for our health, environment and society.Another reason for the method is that if these companies pay huge amounts of money for people who develop cancer from smoking, it would make these companies to raise the price of cigarettes stop the reason I have mentioned above, these companies want to resolution their losses so they would through the approach which increasing the price of cigarettes, which leads to more and more people can not afford the cigarettes. And then they might reduce the number of they smoke everyday so that reducing the negative effects of smoking for our life. Therefore, these factors can justify why I think the method is a good idea.However, someone think this is a bad idea because it is unfair for companies which manufacture cigarettes. These companies manage is do not teach people to smoke, do not make people to develop cancer, they only are businessmen as same as other companies, such as shoes companies. It is sure that they do not lead to other people ill, however, if our society do not have any companies which manufacture cigarettes, nobody wood smoking, so nobody will develop cancer from smoking. They have the responsibility to pay money for people who hurted by smoking.In conclusion, it is no doubt that the measure that requiring companies which manufacture cigarettes pay huge numbers of money as compensation to people who has cancer from smoking is a good idea. Because the method could lead to these companies 'cause huge losses, so they would reduce the number of cigarettes and increase the price of cigarettes, therefore, reducing the negative effects to our lives. I believe that, in the future, more and more people will like to quit smoking. Let's work together to creat a better life for ourselves.	5	5	5	4	4	4
300465371	Nowadays, there are many people smorke in the world and smorking is occurred cancer. Cancer is serious disease for us and if we become cancer, we will need a lot of money to cure cancer. This essay will argue that companies which manufacture cigarettes should pay large amounts of money as compensation to people who develop cancer from smoking, because cigarettes are bad for health. In addition, companies have a lot of money.First, cigarettes aren't good for health, so companies don't think people health. Company did people feeling which want to smorke. If the companies don't make a cigaret, people will not smorke, so companies should pay for people who develop cancer.Second, companies have a lot of money. There are many person who is poor or rich. If we are rich, we will be able to pay money to cure cancer, but if we are poor, we will be not able to pay to cure cancer, so companies which manufacture cigarettes, but the companies don't have enough money, so money which is cigarettes should increase the cost, then the companies should collect money from each person who buy cigarettes till stop at last, the companies paid to people who develop cancer from smorking.On the other hand, smorking is responsible by each person, because if we don't smorke, we will be cancer from smorking, so many people think people who become cancer from smorking have to pay money to cure cancer by themselves, but if the people don't have enough money, the people will not be able to cure the cancer, so it is not and people don't want to die from cancer, so the company should help two people who develop cancer from smorking.In conclusion, the companies have to pay monies people who develop cancer from smorking, because the companies make dangerous cigarettes. People need many money to live healthy, so the companies have to pay two people who develop cancer from smoking.	3	3	3	3	3	3
300467528	With the steady growth in the country's economy as well as the people's living standard an increasing number of people are likely to choice smoking as an interest to release pressure. Some people think that companies manufacture cigarettes should pay large amounts of money as compensation to people who suffer cancer from smoking. Although these method take attention to many people and give grant to those people. It caused more and more people negalate the dangers of cigarettes. Moreover, it caused the unfair of the society so stop it is my opinion that this is a bad idea.The main reason to support clain is that it cause a large amounts of people negalate the dangerous of smoking. Some people may think the money are important than health. With the development of the technology, that medicine developing fast. If put lots of money to those people who develop cancer they will think themself take advantage of this. They don't care about their health and by this way to get more money.The further reason to support claim is that the method caused the unfair of society. This is a bad behavior to smoking. Those people who choice bad behavior it develop cancer is them own choice. For many people they don't have money to pay for large medicine cost and even wait to die. For example, the two people stayed in the hospital, caused by cigarettes, the other is caused by car accident. The first patient is supported many money to take medicine so stop the other people growth in poor family, they don't have money to pay for the cost. It cause the unfair.Some people think it can show a good company, increasing the sense of belonging. It is true that company have responsible to do something to compensation people and maintain their service. Although it seems that reasonable and attractively, it cannot hold the water. The bad behaviour is the individuals choice. When companies put money into the society it cause many positive impacts and influence the social atmosphere. Let more people to have a bad idea to earn money.In conclusion, although it is benefit for companies to provide a good service, it cause people negalate their health and attractive more people to smoking. Moreover, it caused the unfair of the society. If use the suitable strategies by understand and manipulating relevant factors the problems could be fine and achieve the desired outcome.	5	5	4	5	4	5
300470595	There are still amount of people smoke even if they know it is bad for their health. So there is a question: should companies which manufacture cigarettes pay large amount of money as compensation to people who develop cancer from smoking? I don't agree with this idea.Smoking or not, it is people zone decisiones. Not everyone chooses smoking and not everyone have cancer from smoking. There is a situation that whether you have cancer is not based on the time you smoke. Some people they smoke for a long time, they even do not have cancer even when they are old. But some people may develop cancer when they smoke not for a long time. So I think it depends on people's physical condience. so companies do not need to pay amount of money as compensation to people who develop cancer from smoking.If people know the companies will pay large amount of money for people who develop cancer from smoking, so the people will not decrease smoking. So it is not a good way to avoid people smoking. As we know, there are many harmful things in one cigarette. We even do not have a deep understanding about these harmful things. So it is useless that people already have sick about smoking then companies have the action about it like pay money to people. It is important that people should have the mind to reduce smoking instead of spending much money after have cancer from smoking.There also have some benefits about companies which manufacture cigarettes pay large amounts of money as compensation to people who develop cancer from smoking. Do to peoples stress become more heavier than before, more and more people choose to smoke to avoid much pressure which in their work and families. If they smoke for a time, they cannot stop. So some people will have the heavy illness like cancer. It is a useful way to help these people to get much better. The government still should tell people the harm of smoking and make people know much about the cigarettes.Although companies which manufacture cigarettes pay large amount of money as compensation to people who develop cancer from smoking may help people out of the harm of cancer, there still not a good way to avoid people smoking too much. Government should have action to focus on the number of cigarettes which companies sell at day and people also should control the number of cigarettes they smoking a day.	4	4	4	4	4	4
300475607	Cigarettes are something which have high risks of cancer. Some people argued that the cigarettes companies should compensate large amounts of money to people who develop cancer because of smoking. It this essay, I will argue that why it is not a good idea.Firstly, smoking is an individual behaviour. That means it is actually people can avoid to smoke, so that they will not develop cancer. But many men like to snug as frequent as eating. If they smoke 3 * 1 day or a pack of cigarettes one week, it is a fact that they must have illness from smoking when they are old. Why the cigarettes companies must pay for these people who can not control themselves? Moreover, smoking is a good way to reduce stress for men if they know the risks of cigarettes.Secondly, it is hard to say that the cancer is caused by smoking. As we all know, cancer is 1 diseases that can not be cured, and there are many reasons for the cancer. It is a big problem to define the cancer is caused by cigarettes. if a person has a hobby too smoke and he developed cancer, but he also has other serious illness, how to make sure that the cancer is caused by smoking not other illness? So it is difficult to range what the companies should to compensate.It is true that cigarettes companies should tell public that risks of smoking. People have the rights to know why cigarettes is dangerous and they will have option to choose smoking. Therefore, many companies copy the symbol of dangerous smoking on the plastic pack. Even though they can highlight the risks, they can not prevent people to smoking more. Thus, the cigarettes companies have no responsibility to compensate people. Next line in conclusion, to some extent, it is not a good idea let companies to pay for someone develop cancer from smoking. The risks of cigarettes should be taken by smokers, and the companies only have the responsibility to tell public the risks.	4	4	4	4	3	4
300476894	In the contemporary world, manufacturing the cigarettes are very profitable and I growing number companies start to manufacture cigarettes in order to earn more money. Under circumstance, people have a discussion whether companies which manufacture cigarettes should pay a lot of money as compensation to people who develop cancer from smoking or not. Some people consider that companies which makes cigarettes should pay lots of money for people. But, other people hold the opinion that people who like to smoke never care about their health, so it is unnecessary to pay money for those people. In my opinion, companies which manufacture cigarettes should be responsible to pay large amounts of money for people suffering from cancer.There are some evidences to show that it is necessary to pay money for people from cancer although many people disagree my opinion. The first of all, many people suffer from cancer due to fact that they smoke too many cigarettes, these cigarettes are manufactured by these companies. If these companies stop or reduce the amounts of cigarettes produced, the rights of people suffering from cancer will decrease. What is more, the leaders from companies never care about people's health and produce a large amounts of cigarette for their own profit. Therefore, these leaders should pay money as compensation to those patients. Finally, those cigarettes advertisements have a bad example two teenagers. Many teenagers see some adults smoke in the public areas boy television and think they are cool, so they also start to knew the cigarettes by some cigarettes advertisement, And then try to smoke, so these cigarettes advertisements which created by companies has a negative effect on teenagers.It is not denied that some people who develop cancer from other vectors and many people who like to smoke still can live for a long time, but it is a reason why people can ignore the harm of cigarettes. Too many people suffer from cancer even die due to the cigarettes. Smoking not only be harmful for own health but also impart on others. They still manufacturers although companies know these. Therefore, they have responsibility of those people who develop cancer and should pay money as compensation to people.	4	4	5	4	4	4
